,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.0,0.84,0.87,1.12,0.91,0.85,0.69,0.92,0.72,0.56,0.66,0.67,0.65,0.63,0.62,0.62
f_1,1.21,1.0,0.88,0.97,0.89,0.74,0.61,0.63,0.75,0.62,0.56,0.54,0.55,0.49,0.53,0.42
d_1,1.14,1.13,1.0,0.85,0.85,0.81,0.7,0.67,0.5,0.88,0.69,0.63,0.6,0.62,0.51,0.58
c_1,0.89,1.04,1.16,1.0,1.31,0.85,0.78,0.46,0.68,0.54,0.53,0.58,0.52,0.56,0.5,0.56
b_1,1.07,1.13,1.17,0.78,1.0,1.48,0.82,0.65,0.76,0.78,0.71,0.78,0.57,0.75,0.65,0.62
a_1,1.2,1.35,1.23,1.17,0.69,1.0,0.98,0.81,0.82,0.8,0.94,0.81,0.73,0.71,0.88,0.7
h_1,1.42,1.65,1.41,1.27,1.21,1.0,1.0,0.87,1.01,0.85,0.81,0.83,0.8,0.78,0.89,0.83
d_0,1.1,1.52,1.47,2.13,1.55,1.25,1.15,1.0,1.09,0.71,0.91,0.95,0.88,0.83,0.87,0.89
g_1,1.42,1.32,1.98,1.47,1.3,1.17,0.99,0.92,1.0,1.02,0.99,1.26,0.9,0.71,0.96,0.97
c_0,1.78,1.55,1.16,1.8,1.28,1.2,1.17,1.41,1.02,1.0,1.38,1.06,1.06,1.03,1.05,0.86
b_0,1.49,1.8,1.46,1.92,1.53,0.96,1.18,1.16,1.01,0.7,1.0,1.01,1.35,0.96,0.87,0.93
f_0,1.5,1.84,1.64,1.62,1.34,1.23,1.16,1.04,0.8,0.97,1.03,1.0,0.97,1.0,0.82,1.38
a_0,1.58,1.77,1.65,2.0,1.82,1.35,1.26,1.17,1.05,0.91,0.76,0.97,1.0,0.98,0.87,1.08
h_0,1.63,1.92,1.65,1.72,1.35,1.46,1.26,1.2,1.43,0.97,1.05,0.99,1.01,1.0,1.14,0.9
g_0,1.62,1.88,2.04,1.87,1.5,1.15,1.17,1.14,1.03,0.98,1.1,1.23,1.19,0.85,1.0,1.03
e_0,1.6,2.36,1.78,1.71,1.66,1.41,1.23,1.15,1.03,1.1,1.06,0.78,0.97,1.12,0.94,1.0
