,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.91,0.78,1.08,0.94,0.8,0.51,0.47,0.6,0.43,0.47,0.44,0.36,0.33,0.33,0.32
d_1,1.1,1.0,1.12,0.86,0.86,0.74,0.5,0.39,0.43,0.54,0.45,0.39,0.32,0.37,0.3,0.28
f_1,1.29,0.89,1.0,0.94,0.87,0.72,0.39,0.47,0.44,0.42,0.41,0.39,0.31,0.34,0.28,0.32
c_1,0.92,1.17,1.07,1.0,1.3,0.69,0.51,0.48,0.33,0.41,0.35,0.35,0.35,0.33,0.31,0.31
b_1,1.06,1.09,1.15,0.79,1.0,1.14,0.61,0.55,0.47,0.51,0.42,0.44,0.38,0.31,0.34,0.34
a_1,1.22,1.38,1.36,1.42,0.92,1.0,0.63,0.72,0.63,0.58,0.64,0.58,0.53,0.49,0.47,0.41
h_1,1.93,2.06,2.43,1.97,1.69,1.57,1.0,1.17,0.92,0.87,0.89,0.77,0.76,0.63,0.64,0.67
g_1,2.09,2.52,2.05,2.06,1.82,1.41,0.85,1.0,0.79,0.92,0.85,0.94,0.67,0.65,0.71,0.62
d_0,1.74,2.37,2.25,3.08,2.17,1.57,1.12,1.27,1.0,0.85,1.0,0.84,0.83,0.75,0.7,0.68
c_0,2.37,1.89,2.35,2.29,1.88,1.65,1.16,1.09,1.24,1.0,1.31,1.04,0.84,0.88,0.82,0.69
b_0,2.12,2.21,2.38,2.84,2.5,1.64,1.15,1.17,1.07,0.75,1.0,1.04,0.83,0.98,0.79,0.77
f_0,2.32,2.52,2.57,2.88,2.22,1.65,1.35,1.07,1.18,0.99,1.0,1.0,0.91,0.81,1.16,0.61
h_0,2.89,3.14,3.28,2.78,2.69,1.91,1.33,1.47,1.17,1.18,1.2,1.03,1.0,0.95,0.85,0.94
a_0,2.98,2.74,3.06,3.1,3.27,1.84,1.61,1.54,1.31,1.12,1.03,1.21,1.07,1.0,0.96,0.89
e_0,3.08,3.31,3.56,3.29,2.98,1.91,1.6,1.36,1.38,1.28,1.29,0.87,1.13,1.07,1.0,0.85
g_0,3.19,3.77,3.1,3.23,3.04,2.4,1.48,1.6,1.46,1.44,1.36,1.53,1.05,1.1,1.12,1.0
