,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,2.25,1.07,0.52,0.54,0.45,0.37,1.03,1.18,1.06,0.81,0.97,0.52,1.16,0.6,0.84,1.22
e_1,0.63,2.27,0.75,0.51,0.38,0.41,0.98,2.21,1.07,0.85,1.35,1.08,1.61,0.56,1.05,1.21
c_1,0.64,0.46,2.43,0.47,1.07,0.45,0.98,1.13,0.47,0.78,0.67,1.07,1.42,1.09,0.73,1.01
d_1,0.75,0.61,0.43,2.49,0.48,0.32,0.99,0.61,2.13,0.88,1.18,1.1,1.71,0.93,1.0,1.41
b_1,0.58,0.53,0.56,0.54,2.58,0.98,0.94,1.06,1.04,0.77,0.41,1.03,1.38,1.0,0.59,1.15
a_1,0.61,0.48,0.52,0.6,0.55,3.02,1.26,1.24,1.26,1.29,1.23,1.3,1.28,0.99,0.41,1.25
h_1,0.97,0.68,0.6,0.83,0.61,0.47,3.14,1.26,1.34,1.4,1.34,1.42,1.02,1.31,1.13,2.11
d_0,0.68,0.73,1.3,0.36,0.76,0.47,1.16,2.62,1.18,1.07,1.33,1.38,1.84,1.38,1.1,1.68
c_0,0.77,0.7,0.44,0.8,0.5,0.51,1.5,1.58,2.83,1.19,2.88,1.46,1.98,1.16,1.39,1.88
g_1,0.65,0.63,0.81,1.02,0.58,0.55,1.08,1.26,1.18,3.46,1.24,1.97,1.62,1.25,1.08,0.75
b_0,0.87,0.78,0.74,0.63,0.35,0.29,1.52,1.5,1.58,1.38,3.08,1.25,2.24,1.25,2.84,1.63
f_0,0.52,0.55,0.81,0.82,0.65,0.63,1.33,1.58,1.31,1.22,1.53,3.17,1.71,2.92,1.33,1.77
h_0,1.04,0.64,0.69,0.71,0.53,0.53,0.81,1.6,1.58,1.49,1.58,1.21,1.25,0.96,1.14,2.08
e_0,0.72,0.44,0.76,0.89,0.72,0.5,1.42,1.52,1.54,1.1,1.31,1.62,1.61,3.13,1.41,2.12
a_0,0.92,0.74,0.67,0.85,0.67,0.17,1.16,1.98,1.61,0.93,1.37,1.31,2.26,1.49,3.28,1.8
g_0,0.6,0.61,0.64,1.28,0.58,0.47,1.18,1.12,1.54,0.9,1.38,2.18,1.54,1.37,1.29,1.12
