,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,5.76,1.5,1.06,1.64,1.17,0.99,4.74,3.82,11.03,6.32,6.71,5.3,9.58,8.05,2.78,8.45
f_1,2.18,5.8,1.4,1.21,1.12,1.26,4.4,4.8,4.91,4.87,5.99,1.84,8.32,5.19,4.06,7.94
d_1,1.19,1.42,6.33,1.08,1.23,1.54,4.3,5.74,2.32,11.65,7.44,6.29,9.69,5.26,8.03,9.7
c_1,1.15,1.29,1.16,6.77,2.55,1.14,4.07,4.46,5.86,2.04,4.14,6.1,8.75,6.32,7.32,8.02
b_1,1.3,1.22,1.42,1.31,7.58,2.39,4.09,4.36,5.47,5.47,2.95,6.65,9.41,4.15,4.9,7.86
a_1,1.26,1.39,1.5,1.13,1.06,11.96,5.87,4.64,5.7,6.62,7.07,8.63,10.62,2.91,7.66,9.09
h_1,1.38,2.3,1.86,1.48,1.5,1.31,17.52,7.33,6.41,6.89,7.52,6.43,5.1,5.4,6.63,14.91
g_1,1.16,1.28,2.65,1.55,1.51,1.38,5.88,18.45,7.13,7.79,9.69,11.7,11.1,7.2,7.86,10.05
d_0,1.4,1.72,0.6,3.15,1.63,1.26,7.54,5.63,15.31,4.08,6.53,8.26,11.27,8.81,7.99,11.66
c_0,1.62,2.03,1.54,1.19,1.07,1.32,7.03,6.62,8.17,14.72,14.68,8.66,11.08,10.64,8.22,14.26
b_0,1.78,1.7,1.64,1.67,0.83,1.44,6.43,5.65,8.19,6.76,17.06,7.33,11.32,17.35,7.31,12.75
f_0,1.17,1.13,1.75,1.79,1.81,1.38,5.34,5.58,7.69,7.57,8.76,19.65,14.53,8.27,21.14,13.15
h_0,1.38,2.06,1.78,1.68,1.57,1.56,4.06,5.81,6.73,7.62,7.43,8.47,6.0,8.79,8.09,19.52
a_0,1.33,1.96,1.58,1.96,1.76,0.72,7.05,5.36,7.08,5.95,8.68,6.6,12.18,23.65,8.05,10.54
e_0,0.78,1.63,1.96,1.91,1.72,1.5,5.97,6.02,8.8,8.41,8.71,8.91,13.02,6.56,25.39,14.65
g_0,1.19,1.17,2.85,1.66,1.51,1.58,6.34,3.98,5.73,6.77,5.52,13.67,11.4,7.65,8.35,8.66
