,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,116.02,13.47,13.37,16.54,29.64,56.81,1734.59,2563.16,6174.71,4223.03,,9722.25,17358.6,13638.55,18313.55,32339.06
f_1,12.95,118.89,22.54,14.39,25.34,62.33,1823.06,2565.7,3462.49,5707.89,5498.62,,11992.87,13366.61,16625.72,40628.61
e_1,11.13,10.91,120.3,16.83,29.72,59.95,1953.68,2748.58,3262.53,4263.33,9875.61,7334.32,17211.84,12690.45,,33550.64
c_1,11.82,12.54,14.94,155.12,30.43,32.86,1704.76,2481.92,,3446.65,5599.83,8002.93,14777.46,14298.81,14920.03,41666.9
b_1,8.72,13.42,10.55,12.04,205.68,98.46,1587.73,1764.22,3314.58,,3883.05,5245.95,15003.48,15192.48,,23780.5
a_1,7.21,9.67,8.16,13.99,9.16,396.98,1344.11,1333.83,2099.34,3548.86,3686.35,4493.91,14953.31,,11187.94,17258.27
h_1,6.94,7.62,5.3,9.78,11.9,23.35,3122.46,1859.92,1633.15,2184.16,1802.0,3668.11,,6396.96,7943.07,24118.13
g_1,7.26,5.12,4.55,7.57,12.67,22.05,557.15,4504.74,1232.16,1894.75,2234.42,4029.87,8369.16,6289.69,6083.73,
c_0,4.24,5.64,6.07,,8.9,27.13,816.63,1490.85,4011.96,3606.52,2073.8,4788.98,8089.71,7940.33,8024.76,16948.62
b_0,6.55,5.05,5.3,8.17,,15.88,767.45,1171.29,1364.71,5245.86,2710.37,3866.4,5843.22,9866.28,6542.67,13188.89
d_0,,5.55,5.22,11.9,9.32,18.44,837.95,1020.22,1240.5,1566.71,5497.8,3710.84,7395.31,6887.09,7673.76,13697.16
f_0,4.13,,4.53,6.34,11.66,18.99,665.58,1051.52,951.67,1573.71,1548.41,7992.91,5827.25,3772.49,,11182.95
h_0,5.13,5.25,4.64,6.72,8.56,16.46,,962.08,1245.02,2328.79,1876.52,2926.65,,4615.63,7526.3,15276.49
a_0,3.39,4.09,3.01,4.58,5.79,,635.61,804.64,813.71,983.09,1299.6,3134.56,5335.78,14042.04,,16450.0
e_0,3.4,3.41,,5.21,,15.32,474.65,960.56,900.96,1171.79,1251.38,,4585.47,,16310.21,10228.4
g_0,4.91,3.36,2.95,3.86,8.35,15.49,439.23,,971.79,1318.51,1671.81,3412.08,4041.58,2894.46,4984.16,
