,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.41,0.57,0.82,0.87,0.79,0.78,0.48,0.45,0.37,0.43,0.38,0.45,0.4,0.35,0.53,0.38
f_1,0.91,0.41,0.73,0.87,0.8,0.74,0.33,0.45,0.33,0.38,0.35,0.46,0.34,0.23,0.25,0.31
d_1,0.85,0.83,0.41,0.75,0.78,0.83,0.43,0.34,0.41,0.54,0.38,0.36,0.33,0.28,0.41,0.23
c_1,0.66,0.78,1.04,0.37,1.03,0.75,0.43,0.4,0.4,0.21,0.35,0.33,0.36,0.3,0.37,0.31
b_1,0.85,0.82,0.79,0.5,0.36,1.02,0.55,0.52,0.39,0.4,0.48,0.37,0.36,0.33,0.4,0.3
a_1,0.86,0.89,0.82,0.84,0.47,0.3,0.48,0.51,0.49,0.47,0.47,0.39,0.62,0.42,0.34,0.42
h_1,0.7,0.86,0.7,0.76,0.64,0.65,0.26,0.45,0.33,0.35,0.29,0.29,0.31,0.33,0.31,0.27
g_1,0.7,0.76,0.75,0.82,0.67,0.65,0.29,0.24,0.32,0.33,0.3,0.37,0.3,0.24,0.38,0.31
c_0,0.76,0.87,0.46,1.41,0.72,0.59,0.39,0.38,0.24,0.46,0.43,0.33,0.31,0.3,0.36,0.26
d_0,0.46,0.71,1.01,0.94,0.77,0.69,0.43,0.38,0.34,0.24,0.36,0.33,0.36,0.29,0.38,0.35
b_0,0.64,0.76,0.7,0.83,1.13,0.6,0.43,0.4,0.21,0.32,0.23,0.26,0.4,0.29,0.33,0.26
f_0,0.61,1.0,0.73,0.75,0.73,0.69,0.37,0.28,0.29,0.33,0.37,0.23,0.32,0.3,0.51,0.21
a_0,0.68,0.78,0.69,0.75,1.02,0.83,0.38,0.43,0.31,0.33,0.18,0.3,0.21,0.26,0.34,0.2
h_0,0.66,0.84,0.72,0.8,0.68,0.57,0.51,0.39,0.3,0.31,0.27,0.26,0.28,0.35,0.29,0.27
e_0,0.84,1.1,0.61,0.72,0.77,0.81,0.41,0.32,0.3,0.34,0.31,0.16,0.29,0.24,0.19,0.28
g_0,0.77,0.77,0.74,0.69,0.74,0.61,0.35,0.45,0.32,0.3,0.3,0.32,0.37,0.24,0.27,0.32
