,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.33,1.52,1.35,1.81,4.02,15.73,31.39,40.29,42.06,43.72,,67.19,75.36,107.56,152.24
e_1,0.75,1.0,1.15,1.27,1.83,3.43,18.85,24.79,39.24,36.73,43.77,71.1,66.01,89.76,,114.2
d_1,0.66,0.87,1.0,1.28,1.6,2.38,13.43,17.38,,38.12,37.58,32.92,65.17,81.52,90.12,83.14
c_1,0.74,0.78,0.78,1.0,1.37,2.03,12.97,18.58,14.61,,30.56,33.18,51.34,57.62,67.25,78.29
b_1,0.55,0.54,0.63,0.73,1.0,3.2,9.4,21.65,16.73,20.67,,29.0,43.46,40.68,58.5,57.7
a_1,0.25,0.29,0.42,0.49,0.31,1.0,4.96,,9.11,11.53,10.31,,18.63,,,35.59
h_1,0.06,0.05,0.07,0.08,0.11,0.2,1.0,1.85,1.56,1.95,2.48,2.43,,5.92,4.6,9.58
g_1,0.03,0.04,0.06,0.05,0.05,,0.54,1.0,1.07,1.33,1.54,2.23,2.3,2.45,3.71,
d_0,0.02,0.03,,0.07,0.06,0.11,0.64,0.94,1.0,0.91,1.4,1.53,1.99,2.95,2.85,3.68
c_0,0.02,0.03,0.03,,0.05,0.09,0.51,0.75,1.1,1.0,1.61,1.5,2.25,2.25,2.35,3.08
b_0,0.02,0.02,0.03,0.03,,0.1,0.4,0.65,0.71,0.62,1.0,1.09,1.45,2.68,2.17,2.55
f_0,,0.01,0.03,0.03,0.03,,0.41,0.45,0.65,0.67,0.92,1.0,1.57,2.02,2.66,1.36
h_0,0.01,0.02,0.02,0.02,0.02,0.05,,0.44,0.5,0.44,0.69,0.64,,1.24,1.58,1.69
a_0,0.01,0.01,0.01,0.02,0.02,,0.17,0.41,0.34,0.44,0.37,0.49,0.81,1.0,,
e_0,0.01,,0.01,0.01,0.02,,0.22,0.27,0.35,0.43,0.46,0.38,0.63,,1.0,1.39
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.1,,0.27,0.32,0.39,0.74,0.59,,0.72,
