,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,0.17,0.93,1.99,2.02,1.77,1.67,0.51,0.54,0.4,0.32,0.32,0.44,0.36,0.24,0.94,0.23
f_1,1.38,0.16,1.75,1.85,1.54,1.49,0.35,0.51,0.33,0.38,0.33,1.46,0.35,0.15,0.28,0.31
c_1,1.6,1.42,0.15,2.06,1.6,1.69,0.65,0.47,0.19,0.35,1.46,0.33,0.3,0.22,0.35,0.27
d_1,1.72,1.98,1.73,0.15,1.89,1.68,0.38,0.28,1.89,0.3,0.34,0.32,0.3,0.22,0.33,0.14
b_1,1.94,1.77,0.96,1.58,0.14,1.87,0.45,0.55,0.32,1.61,0.42,0.26,0.34,0.24,0.4,0.38
a_1,1.38,2.14,1.85,1.71,0.87,0.11,0.61,0.55,0.39,0.54,0.36,0.48,1.47,0.29,0.37,0.24
h_1,1.1,1.32,0.94,0.74,0.86,0.67,0.07,0.29,0.25,0.17,0.17,0.19,0.22,0.4,0.18,0.17
g_1,1.09,1.03,0.93,0.76,1.28,0.9,0.2,0.05,0.23,0.21,0.19,0.19,0.25,0.11,0.2,0.36
d_0,0.53,0.87,0.96,1.81,1.19,0.94,0.31,0.36,0.07,0.24,0.17,0.2,0.18,0.16,0.2,0.18
b_0,0.94,0.88,1.15,0.65,3.51,1.02,0.24,0.27,0.18,0.07,0.09,0.19,0.19,0.14,0.15,0.11
c_0,1.0,0.88,4.16,0.46,0.94,1.26,0.32,0.29,0.26,0.16,0.07,0.21,0.18,0.19,0.2,0.14
f_0,1.08,4.67,0.67,0.8,1.03,1.09,0.29,0.16,0.19,0.14,0.17,0.06,0.18,0.16,0.14,0.08
a_0,0.84,1.18,0.8,1.06,1.06,1.53,0.25,0.48,0.21,0.08,0.13,0.17,0.05,0.12,0.12,0.11
h_0,1.0,0.84,0.88,1.06,0.76,0.82,0.68,0.29,0.17,0.17,0.16,0.19,0.15,0.54,0.13,0.13
e_0,2.5,1.11,0.89,0.69,1.04,0.86,0.17,0.26,0.18,0.17,0.16,0.09,0.2,0.16,0.04,0.12
g_0,0.81,1.21,0.84,1.12,0.77,0.97,0.21,0.62,0.22,0.16,0.19,0.17,0.15,0.12,0.17,0.25
