,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,3.73,0.7,0.39,0.37,0.31,0.4,0.75,0.68,0.67,0.77,0.21,0.94,0.78,0.76,0.62,0.74
e_1,0.4,3.81,0.35,0.4,0.44,0.28,0.6,0.79,1.59,0.9,0.84,0.86,0.94,0.81,0.27,0.87
d_1,0.43,0.36,3.92,0.37,0.33,0.35,0.76,0.79,0.22,1.58,1.03,0.82,0.98,0.82,0.97,0.89
c_1,0.38,0.39,0.38,4.48,0.77,0.31,0.67,0.76,0.73,0.08,1.03,0.59,0.76,0.84,0.83,0.8
b_1,0.4,0.42,0.4,0.38,5.1,0.78,0.85,0.69,1.06,0.57,0.65,0.16,0.92,0.47,0.76,0.66
a_1,0.5,0.32,0.44,0.36,0.39,7.37,0.91,0.65,0.52,0.79,0.74,0.8,1.15,0.21,0.9,0.89
h_1,0.99,0.56,0.71,0.71,0.59,0.78,5.13,1.58,1.46,1.06,1.3,1.27,0.56,1.33,1.55,1.89
g_1,0.71,0.6,0.92,0.61,0.57,0.81,1.23,5.74,1.05,1.23,1.86,1.32,1.34,1.6,1.54,0.49
d_0,0.6,0.72,0.17,1.45,0.69,0.77,1.39,1.3,3.75,1.12,1.59,1.37,1.23,1.66,1.15,1.54
c_0,0.83,0.7,0.9,0.27,0.62,0.42,1.5,1.23,1.12,4.1,1.47,3.29,1.49,2.23,1.69,1.95
f_0,0.27,0.63,1.0,0.88,0.71,0.56,1.64,1.3,1.43,1.85,4.66,1.28,1.83,1.12,3.08,2.41
b_0,0.73,0.57,0.89,0.88,0.19,0.55,1.25,1.25,1.51,1.41,1.67,4.91,1.85,3.36,1.66,2.15
h_0,1.04,0.63,0.72,0.71,0.54,0.67,0.53,1.83,1.44,1.32,1.13,1.65,0.66,1.31,1.28,2.18
a_0,0.77,0.62,0.93,0.8,0.79,,1.05,0.99,1.23,1.22,1.53,1.29,1.61,6.14,1.93,2.25
e_0,0.82,0.25,0.67,0.82,0.74,0.9,1.6,1.26,1.89,1.63,1.64,1.66,1.95,1.46,6.04,1.18
g_0,0.49,0.67,1.16,0.71,0.65,0.63,1.36,0.71,0.91,1.5,1.94,1.78,1.15,1.27,1.68,
