,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.0,0.75,1.12,1.29,1.53,2.76,18.19,28.48,41.62,35.63,38.76,40.22,61.89,92.42,116.49,103.31
f_1,1.34,1.0,0.93,0.96,1.19,2.51,16.61,24.95,27.03,30.74,35.9,40.21,63.56,73.36,72.51,85.57
d_1,0.89,1.08,1.0,0.92,1.14,2.51,17.13,16.38,38.31,38.67,30.65,44.18,62.68,79.38,79.55,90.67
c_1,0.77,1.04,1.09,1.0,1.61,3.03,15.76,20.51,21.13,20.57,31.0,32.12,58.1,68.11,84.93,80.41
b_1,0.65,0.84,0.88,0.62,1.0,2.98,13.57,19.41,21.55,25.2,20.46,27.27,64.1,59.12,65.76,79.27
a_1,0.36,0.4,0.4,0.33,0.34,1.0,6.46,9.82,10.39,11.94,12.32,13.48,22.84,27.3,30.03,30.13
h_1,0.05,0.06,0.06,0.06,0.07,0.15,1.0,1.3,1.56,1.58,1.81,2.17,2.92,3.08,5.43,4.08
g_1,0.04,0.04,0.06,0.05,0.05,0.09,0.77,1.0,1.11,1.07,1.73,1.63,2.32,3.05,3.84,3.38
d_0,0.02,0.04,0.03,0.05,0.04,0.09,0.66,0.89,1.0,0.96,1.37,1.14,2.23,2.54,3.23,2.45
c_0,0.03,0.03,0.03,0.05,0.04,0.08,0.64,0.98,1.0,1.0,1.38,1.96,2.18,2.66,3.05,3.19
f_0,0.02,0.03,0.03,0.03,0.05,0.08,0.54,0.57,0.74,0.75,1.0,0.98,1.76,3.75,2.03,2.61
b_0,0.03,0.02,0.02,0.03,0.04,0.08,0.47,0.64,0.85,0.48,1.0,1.0,1.78,1.93,2.83,3.05
h_0,0.01,0.02,0.02,0.02,0.02,0.04,0.34,0.42,0.41,0.43,0.58,0.55,1.0,1.08,1.89,1.2
e_0,0.01,0.01,0.01,0.02,0.02,0.04,0.29,0.33,0.43,0.4,0.27,0.46,0.93,1.0,1.05,1.07
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.18,0.26,0.3,0.33,0.46,0.37,0.53,0.89,1.0,0.85
a_0,0.01,0.01,0.01,0.01,0.01,0.03,0.25,0.29,0.33,0.33,0.39,0.34,0.84,0.92,1.13,1.0
