,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,5.83,4.5,2.7,2.63,2.42,2.43,9.86,13.12,11.4,9.82,12.59,9.04,18.67,10.33,13.8,21.73
e_1,2.93,5.92,3.7,2.44,2.69,2.39,10.03,21.1,12.01,10.09,14.47,13.77,21.46,12.55,15.56,19.07
c_1,2.62,2.27,6.81,2.62,5.27,3.72,10.4,11.78,8.88,10.06,8.44,13.63,19.79,16.93,11.63,18.33
d_1,3.38,2.77,2.33,7.07,2.58,2.48,11.12,9.72,23.33,10.65,16.29,12.9,22.28,14.75,15.49,22.66
b_1,2.58,2.45,2.72,2.86,7.65,5.96,10.31,11.67,11.9,10.05,9.07,13.56,17.46,15.62,9.81,20.48
a_1,2.9,2.45,2.94,2.96,2.68,10.6,11.57,13.01,13.72,12.11,13.67,16.26,20.9,15.32,10.59,20.23
h_1,3.71,2.93,3.01,3.51,2.97,2.37,19.61,12.13,13.17,14.92,14.48,15.14,16.6,18.1,18.56,27.42
d_0,2.71,2.89,4.96,2.36,3.74,2.69,11.01,18.24,10.98,11.03,13.05,15.11,20.45,17.87,15.96,22.34
c_0,3.14,2.95,2.81,3.49,2.4,3.01,12.73,13.8,21.41,13.23,26.62,14.54,22.39,17.41,20.42,27.27
g_1,2.84,2.9,3.16,4.32,2.59,2.75,10.53,12.09,13.91,24.41,13.61,20.76,19.63,19.58,16.41,17.99
b_0,3.56,3.18,3.35,3.16,2.17,1.88,12.06,14.07,13.9,13.19,24.29,13.48,26.17,15.89,36.17,25.92
f_0,2.72,2.34,3.54,3.62,3.14,3.12,11.7,14.02,14.47,12.32,15.29,25.29,20.14,34.82,19.03,25.84
h_0,3.76,2.91,3.04,3.41,2.68,2.97,8.73,12.97,13.61,14.72,15.39,13.39,19.18,14.41,16.31,29.97
e_0,3.1,2.34,3.36,3.55,3.34,3.13,11.16,11.76,14.75,11.93,13.47,16.31,20.47,31.64,18.77,28.4
a_0,3.43,2.98,3.27,3.1,3.39,1.8,12.2,16.34,15.17,10.75,15.85,14.2,26.03,19.79,33.86,26.09
g_0,2.81,2.65,2.91,4.87,2.84,2.62,11.14,11.17,16.51,9.93,15.13,20.7,21.13,19.9,17.77,18.24
