,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.49,0.64,0.59,0.84,0.61,0.58,0.85,0.93,0.8,1.77,1.06,1.06,1.02,0.95,0.57,0.79
f_1,1.03,2.5,0.66,0.66,0.63,0.56,0.84,0.74,0.78,0.82,0.9,0.39,0.89,0.84,0.61,0.82
d_1,0.62,0.74,2.64,0.47,0.66,0.62,0.99,0.96,1.73,0.4,1.09,0.99,0.96,1.01,1.03,1.05
c_1,0.65,0.61,0.66,3.04,1.17,0.61,0.83,0.76,0.29,0.91,0.88,0.89,0.87,0.78,0.9,1.01
b_1,0.65,0.65,0.7,0.57,3.26,1.32,0.88,0.83,0.83,0.79,0.32,0.9,0.58,1.01,0.95,0.9
a_1,0.65,0.69,0.63,0.71,0.6,4.61,1.0,0.95,1.08,0.9,0.9,1.04,0.56,1.09,0.9,1.01
h_1,0.66,1.17,0.81,0.8,0.57,0.76,2.5,1.56,1.15,0.92,1.08,1.23,1.24,0.7,1.19,1.36
g_1,0.78,0.68,1.16,0.84,0.6,0.67,1.0,2.86,1.15,1.22,1.09,1.77,0.95,1.2,1.4,0.84
c_0,0.76,0.93,0.95,0.56,0.67,0.59,1.17,1.22,2.2,1.07,2.14,1.52,1.32,1.33,1.42,1.35
d_0,0.83,0.71,0.45,1.77,0.76,0.57,1.04,1.16,0.75,2.17,1.08,1.22,1.07,1.27,1.27,1.23
b_0,0.79,0.88,0.92,0.84,0.43,0.51,1.37,1.26,1.06,1.06,2.33,1.18,2.89,1.51,1.4,1.46
f_0,0.65,0.65,0.89,0.8,0.76,0.75,1.28,1.15,1.27,1.24,1.53,2.4,1.41,1.45,3.07,1.53
a_0,0.77,0.9,0.91,0.78,0.78,0.48,1.22,1.15,1.33,0.93,1.16,1.35,2.78,1.49,1.44,1.04
h_0,0.69,1.18,0.94,0.8,0.75,0.56,0.78,1.36,1.11,1.1,1.07,1.06,1.26,0.74,1.41,1.44
e_0,0.43,1.16,0.81,0.79,0.83,0.97,1.28,1.01,1.18,0.99,1.21,0.99,1.19,1.54,3.59,1.54
g_0,0.61,0.75,1.32,0.76,0.83,0.53,1.15,0.85,1.29,0.84,1.26,1.91,1.57,1.27,1.14,0.83
