,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,23.96,0.34,0.73,0.35,0.36,0.26,0.66,0.54,0.68,0.67,0.81,0.16,0.77,0.67,0.58,0.86
d_1,0.37,25.26,0.28,0.24,0.32,0.37,0.99,0.76,1.74,0.25,0.99,0.95,0.89,0.83,0.88,0.64
e_1,0.38,0.27,26.16,0.36,0.32,0.29,0.72,0.68,0.73,1.73,0.73,0.96,0.98,0.86,0.31,0.84
c_1,0.38,0.35,0.28,27.5,0.78,0.25,0.76,0.64,0.13,0.69,0.61,0.84,0.82,0.7,0.58,0.83
b_1,0.31,0.35,0.33,0.34,31.45,0.8,0.55,0.61,0.55,0.69,0.15,0.61,0.84,0.77,0.85,1.15
a_1,0.3,0.33,0.21,0.39,0.4,48.32,0.91,0.81,0.86,0.55,0.71,0.98,1.2,0.17,0.95,0.83
h_1,0.93,0.59,0.61,0.88,0.39,0.57,10.81,1.52,1.4,1.32,1.78,1.54,0.45,1.41,1.5,2.4
g_1,0.5,1.13,0.51,0.58,0.6,0.65,0.89,12.03,1.29,1.43,1.6,2.61,1.16,1.12,1.74,0.66
c_0,0.74,0.98,0.65,0.28,0.4,0.62,1.36,1.65,5.95,1.6,3.22,1.96,1.92,1.6,1.53,1.83
d_0,0.63,0.18,0.72,1.47,0.46,0.73,1.51,1.41,1.11,5.8,1.97,1.53,1.19,1.67,1.54,1.33
b_0,0.83,0.83,0.76,0.67,0.1,0.62,1.38,1.66,1.52,1.47,6.32,1.03,1.97,3.43,1.38,1.55
f_0,0.24,0.74,0.52,1.02,0.49,0.67,0.98,1.49,1.31,1.99,1.83,6.3,1.97,1.61,4.47,1.89
h_0,0.92,0.75,0.64,0.55,0.58,0.65,0.3,2.0,1.55,1.44,1.48,1.35,0.55,1.32,1.5,2.29
a_0,0.64,0.66,0.7,1.01,0.45,,1.16,1.5,1.88,1.55,1.33,1.53,1.8,9.24,1.44,1.32
e_0,0.78,0.78,0.24,0.51,0.5,0.77,1.66,1.87,1.97,1.9,1.98,1.11,1.9,1.88,9.09,1.42
g_0,0.58,1.06,0.51,0.73,0.55,0.57,1.11,0.56,1.51,1.17,1.4,2.6,1.35,1.16,1.91,
