,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,17.77,0.63,0.51,0.41,0.43,0.54,1.04,0.88,2.35,0.38,1.1,1.03,1.09,0.92,1.18,1.13
f_1,0.55,16.22,1.26,0.53,0.48,0.6,0.68,0.82,0.65,0.75,0.81,0.36,0.84,1.01,0.55,0.71
e_1,0.47,0.6,16.53,0.81,0.54,0.52,0.92,0.76,0.92,2.26,1.01,0.99,0.89,0.77,0.49,0.94
c_1,0.52,0.48,0.45,17.79,1.43,0.48,0.95,0.78,0.34,0.83,0.88,0.9,0.91,1.02,0.91,0.87
b_1,0.52,0.61,0.49,0.58,19.37,1.27,0.69,0.87,0.62,0.95,0.37,0.92,0.75,1.07,0.95,1.0
a_1,0.75,0.62,0.46,0.61,0.54,30.6,0.8,1.07,0.98,0.74,0.79,0.93,0.31,1.17,0.83,0.75
h_1,0.85,1.01,0.62,0.64,0.68,0.61,5.28,1.55,0.98,0.86,1.36,1.25,1.1,0.69,1.57,1.79
g_1,1.4,0.51,0.79,0.63,0.63,0.61,1.06,6.08,1.21,0.8,1.36,2.21,1.08,0.94,1.49,0.51
c_0,0.84,0.84,0.75,0.41,0.56,0.8,1.41,1.26,2.99,1.34,3.11,1.28,1.85,1.14,1.36,1.23
d_0,0.32,0.62,0.66,2.47,0.66,0.69,1.09,0.94,0.79,3.35,1.21,1.32,1.02,1.25,1.15,1.37
b_0,0.69,0.93,0.68,0.85,0.38,0.52,1.34,1.21,1.29,1.41,4.01,1.73,3.03,1.42,1.67,1.82
f_0,1.02,0.39,0.63,0.81,0.78,0.73,1.35,1.11,1.29,1.06,1.39,3.49,1.31,1.27,2.92,1.4
a_0,0.73,0.85,0.66,0.88,0.73,0.38,1.24,1.1,1.13,1.15,1.11,1.52,4.31,1.66,1.43,1.51
h_0,0.85,1.23,0.79,0.61,0.68,0.54,0.65,1.73,1.37,1.27,1.1,0.92,1.23,0.59,1.2,1.39
e_0,0.82,0.89,0.39,0.69,0.66,0.77,1.6,1.39,1.19,1.08,1.19,1.31,2.01,1.43,4.46,1.41
g_0,1.34,0.6,0.59,0.85,0.55,0.71,1.32,0.7,1.34,0.97,1.1,2.1,1.11,1.02,1.5,1.05
