,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.42,0.27,0.47,0.3,0.33,0.23,0.5,0.37,0.54,0.55,0.64,,0.75,0.57,0.55,0.76
d_1,0.28,2.42,0.24,0.21,0.26,0.28,0.74,0.51,0.98,,0.69,0.65,0.74,0.59,0.66,0.5
e_1,0.25,0.2,2.49,0.3,0.26,,0.47,0.51,0.62,1.05,0.52,0.8,0.77,0.58,,0.74
c_1,0.32,0.32,0.23,2.55,0.46,0.19,0.56,0.52,,0.5,0.63,0.59,0.8,0.51,0.52,0.87
b_1,0.25,0.3,0.3,0.25,2.69,0.45,0.55,0.48,0.54,0.57,,0.49,0.74,0.7,0.7,0.94
a_1,0.23,0.28,,0.35,0.27,3.26,0.66,0.54,0.68,0.43,0.52,0.84,1.02,,0.6,
h_1,0.63,0.43,0.56,0.58,0.43,0.49,4.01,1.42,1.36,0.99,0.97,1.42,,1.2,0.99,2.16
g_1,0.42,0.78,0.49,0.59,0.55,0.58,0.73,4.19,1.06,1.36,1.12,1.57,1.32,1.05,1.06,
c_0,0.72,0.57,0.56,,0.52,0.44,1.21,1.33,3.5,1.49,1.76,1.78,1.89,1.26,1.16,1.7
d_0,0.62,,0.52,0.97,0.62,0.86,1.51,1.15,1.16,3.5,1.87,1.27,1.51,1.39,0.97,1.38
b_0,0.64,0.58,0.68,0.49,,0.63,1.59,1.23,1.27,1.14,3.73,1.03,2.16,2.47,1.14,1.39
f_0,,0.63,0.49,0.68,0.69,0.5,0.77,1.03,1.16,1.71,1.6,3.7,1.93,1.48,2.93,1.65
h_0,0.9,0.85,0.79,0.61,0.79,0.69,,1.87,1.5,1.9,1.42,1.6,,1.06,1.57,2.98
a_0,0.62,0.62,0.73,0.71,0.47,,1.14,1.26,1.5,1.04,0.8,1.19,1.86,4.53,,1.57
e_0,0.73,0.61,,0.55,0.49,0.7,1.45,1.41,1.61,1.94,1.52,0.77,1.65,,4.51,1.47
g_0,0.73,1.11,0.77,0.68,0.67,,1.05,,1.87,1.52,2.09,2.29,1.49,1.47,1.78,
