,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,5.81,1.38,1.04,1.51,1.33,1.4,5.02,10.1,5.08,6.51,6.23,6.31,9.32,8.13,8.78,3.39
f_1,2.59,6.22,1.26,1.19,1.03,0.89,3.73,6.03,3.69,5.91,5.79,2.18,8.65,5.57,8.59,3.53
d_1,1.18,1.49,6.42,1.07,1.24,1.29,5.23,2.75,4.43,11.12,7.75,7.3,9.5,6.38,9.81,6.69
c_1,1.08,1.28,1.28,6.5,2.28,1.26,4.77,5.99,4.63,2.23,4.71,5.29,9.98,5.25,8.93,7.4
b_1,1.13,1.17,1.44,1.26,7.12,2.6,4.51,5.52,4.33,5.76,2.37,6.88,8.19,4.33,7.76,7.22
a_1,1.13,1.34,1.41,1.52,1.38,10.45,4.48,5.98,4.42,7.33,6.84,7.29,8.36,2.56,7.41,6.48
h_1,1.36,2.15,1.74,1.43,1.3,1.41,16.6,8.23,7.94,7.29,6.07,7.21,6.0,8.35,18.64,8.6
d_0,1.57,1.56,0.67,3.06,1.58,1.59,5.57,14.74,5.14,5.47,7.91,7.06,13.07,6.81,10.45,8.09
g_1,1.24,1.4,2.62,1.6,1.39,1.11,5.51,6.27,21.24,6.78,8.12,13.1,11.79,8.97,6.48,9.22
c_0,1.45,1.9,1.61,1.23,1.42,1.62,6.03,8.4,6.16,15.79,15.82,7.61,13.09,8.97,11.7,8.74
b_0,1.89,1.84,1.4,1.81,0.85,0.82,7.28,7.4,7.06,6.79,19.43,9.64,15.49,19.31,11.4,7.18
f_0,1.23,0.81,1.99,1.93,1.73,1.52,6.76,7.37,6.8,6.88,7.48,18.94,13.33,8.89,14.35,18.64
h_0,1.68,2.15,1.55,1.8,1.66,1.17,3.57,6.9,7.86,6.73,8.28,7.74,6.32,8.48,13.14,9.12
a_0,1.54,1.83,2.02,1.62,1.34,0.51,6.93,7.79,6.96,7.01,7.61,9.84,16.66,24.9,14.85,9.31
g_0,1.26,1.47,2.73,1.63,1.75,1.52,4.55,6.14,3.56,8.5,7.39,12.19,11.52,6.8,9.38,9.57
e_0,0.81,2.0,2.19,1.7,1.35,1.37,5.88,7.19,5.62,8.39,9.39,7.93,14.35,8.75,11.96,26.57
