,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,0.92,0.67,0.38,0.38,0.29,0.19,0.35,0.36,0.27,0.33,0.21,0.29,0.21,0.34,0.16,0.27
e_1,0.44,0.92,0.32,0.48,0.34,0.22,0.39,0.62,0.29,0.32,0.31,0.32,0.24,0.34,0.19,0.27
d_1,0.48,0.44,0.92,0.29,0.29,0.25,0.41,0.27,0.29,0.63,0.34,0.37,0.26,0.35,0.25,0.3
c_1,0.4,0.35,0.39,0.92,0.58,0.26,0.34,0.38,0.27,0.21,0.33,0.22,0.23,0.32,0.25,0.29
b_1,0.43,0.38,0.37,0.34,0.91,0.46,0.35,0.32,0.26,0.28,0.33,0.2,0.19,0.33,0.25,0.28
a_1,0.46,0.46,0.42,0.38,0.31,0.89,0.4,0.38,0.3,0.37,0.33,0.35,0.21,0.35,0.21,0.26
h_1,0.55,0.45,0.47,0.4,0.35,0.22,0.66,0.35,0.39,0.37,0.35,0.33,0.24,0.29,0.25,0.41
d_0,0.45,0.39,0.36,0.68,0.43,0.21,0.4,0.54,0.29,0.26,0.29,0.33,0.25,0.36,0.26,0.31
g_1,0.42,0.42,0.65,0.38,0.32,0.22,0.4,0.34,0.64,0.38,0.47,0.34,0.27,0.37,0.3,0.27
c_0,0.53,0.45,0.48,0.3,0.29,0.23,0.46,0.34,0.34,0.55,0.37,0.57,0.37,0.4,0.28,0.35
f_0,0.34,0.4,0.47,0.47,0.4,0.26,0.44,0.4,0.35,0.38,0.53,0.38,0.33,0.35,0.52,0.32
b_0,0.47,0.49,0.48,0.4,0.31,0.17,0.45,0.37,0.31,0.41,0.36,0.55,0.55,0.38,0.26,0.31
a_0,0.48,0.45,0.45,0.38,0.35,0.19,0.47,0.39,0.3,0.43,0.36,0.36,0.47,0.42,0.3,0.35
h_0,0.6,0.45,0.47,0.44,0.34,0.23,0.33,0.34,0.36,0.36,0.3,0.33,0.24,0.28,0.26,0.38
e_0,0.44,0.28,0.44,0.52,0.44,0.26,0.42,0.37,0.35,0.37,0.37,0.35,0.28,0.42,0.48,0.34
g_0,0.42,0.41,0.61,0.41,0.32,0.24,0.44,0.36,0.23,0.39,0.56,0.35,0.28,0.35,0.34,0.27
