,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.41,0.72,0.6,0.81,0.58,0.53,0.91,0.85,1.67,0.95,0.98,1.01,0.88,0.92,1.11,0.61
f_1,1.15,2.49,0.59,0.59,0.56,0.61,0.81,0.79,0.81,0.8,1.05,0.35,0.9,0.87,0.8,0.76
d_1,0.63,0.73,2.86,0.55,0.53,0.68,0.95,0.92,0.46,1.66,1.05,1.0,1.09,0.99,0.97,0.91
c_1,0.59,0.58,0.62,2.84,1.29,0.48,0.91,0.89,0.98,0.43,0.58,1.05,0.92,0.92,0.83,1.0
b_1,0.58,0.74,0.71,0.55,3.28,1.27,0.82,0.86,0.7,0.91,0.39,0.91,0.96,0.77,0.72,0.95
a_1,0.59,0.62,0.78,0.65,0.63,4.75,0.94,0.85,0.85,0.98,0.9,1.15,1.04,0.39,0.99,1.02
h_1,0.69,1.1,0.78,0.82,0.77,0.56,2.72,1.5,1.14,1.0,1.3,1.02,0.78,1.28,1.52,1.09
g_1,0.67,0.68,1.27,0.78,0.72,0.77,1.21,3.19,0.83,0.78,1.16,1.82,1.13,1.17,0.89,1.37
d_0,0.71,0.8,0.42,1.6,0.88,0.68,1.07,0.91,1.99,0.89,1.08,1.03,1.34,1.21,1.13,1.16
c_0,0.87,0.94,0.78,0.59,0.56,0.82,1.12,1.18,1.25,2.21,2.49,1.02,1.36,1.19,1.37,1.41
b_0,0.83,0.81,0.94,0.96,0.35,0.45,1.36,1.26,1.13,1.16,2.52,1.21,1.11,2.56,1.36,1.28
f_0,0.65,0.43,0.86,1.01,0.76,0.86,1.24,1.38,1.1,1.18,1.33,2.73,1.44,1.26,1.51,2.64
h_0,0.81,1.16,0.88,0.79,0.7,0.72,0.68,1.46,0.92,0.96,1.23,1.12,0.6,1.12,1.87,1.12
a_0,0.75,0.87,1.01,1.02,0.59,0.34,1.16,1.13,1.25,1.2,1.37,1.18,1.36,3.33,1.29,1.14
g_0,0.71,0.87,1.3,0.75,0.61,0.82,1.0,0.82,0.79,1.06,1.49,1.77,1.21,1.32,1.04,1.35
e_0,0.43,0.84,0.98,0.94,0.92,0.82,1.25,1.17,1.29,1.27,1.37,1.31,1.32,1.42,1.34,3.53
