,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,1.0,0.84,1.53,1.02,0.77,0.9,0.42,0.47,0.41,0.55,,0.38,0.25,0.32,0.38,
d_1,1.19,1.0,1.18,0.83,0.88,,0.55,0.42,,0.58,0.43,0.37,0.4,0.23,0.33,0.23
e_1,0.65,0.85,1.0,0.97,1.0,0.76,0.56,0.39,0.52,0.5,0.45,0.47,0.42,0.35,0.24,
c_1,0.98,1.21,1.03,1.0,1.24,,0.47,0.42,0.37,,0.42,0.38,0.42,0.32,0.31,0.42
b_1,1.3,1.14,1.0,0.8,1.0,1.04,0.58,0.5,0.48,0.44,0.39,,0.37,0.41,,0.43
a_1,1.11,,1.31,,0.96,1.0,0.74,0.58,0.52,0.56,0.53,0.53,0.48,,,
h_1,2.36,1.83,1.79,2.15,1.72,1.35,1.0,1.24,0.79,0.67,0.75,0.76,,0.81,0.57,0.68
g_1,2.13,2.38,2.55,2.36,2.01,1.72,0.81,1.0,0.94,0.98,1.25,1.02,0.62,,0.6,0.73
d_0,2.41,,1.92,2.68,2.08,1.92,1.27,1.06,1.0,0.89,0.8,0.75,0.86,0.69,0.83,0.7
c_0,1.83,1.74,1.99,,2.25,1.79,1.49,1.02,1.12,1.0,1.01,1.46,1.0,0.7,0.98,0.76
f_0,,2.32,2.22,2.38,2.54,1.88,1.34,0.8,1.26,0.99,1.0,1.11,0.74,0.72,0.75,1.31
b_0,2.62,2.7,2.15,2.62,,1.9,1.32,0.98,1.33,0.69,0.9,1.0,1.16,0.79,1.21,0.85
h_0,3.99,2.49,2.38,2.35,2.71,2.07,,1.62,1.16,1.0,1.36,0.86,,1.38,0.75,0.76
g_0,3.14,4.33,2.89,3.16,2.46,,1.24,,1.45,1.43,1.38,1.27,0.72,,0.88,0.86
a_0,2.65,3.05,4.12,3.25,,,1.75,1.66,1.21,1.02,1.34,0.83,1.34,1.14,1.0,
e_0,,4.33,,2.39,2.31,,1.47,1.37,1.42,1.32,0.76,1.18,1.31,1.17,,1.0
