,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.8,1.33,1.62,1.62,4.17,23.71,27.24,39.47,37.92,39.24,62.16,79.71,79.05,100.27,133.97
f_1,1.26,1.0,1.05,1.45,1.49,3.63,14.1,27.73,28.23,27.77,34.55,56.1,57.13,54.65,76.56,122.29
d_1,0.75,0.95,1.0,0.92,1.32,2.89,16.61,16.48,26.37,35.17,32.47,43.44,54.37,55.88,91.91,99.59
c_1,0.62,0.69,1.08,1.0,1.96,2.52,15.88,19.76,16.38,20.77,22.07,37.91,52.09,43.27,69.91,98.7
b_1,0.62,0.67,0.76,0.51,1.0,2.83,12.04,18.66,16.52,15.48,20.06,39.22,30.63,51.63,57.21,99.07
a_1,0.24,0.28,0.35,0.4,0.35,1.0,6.01,8.5,7.32,9.2,11.07,13.72,32.67,22.03,24.15,47.25
h_1,0.04,0.07,0.06,0.06,0.08,0.16,1.0,1.44,1.49,1.66,1.8,3.28,3.13,4.02,5.14,8.5
g_1,0.04,0.04,0.06,0.05,0.05,0.12,0.68,1.0,1.16,1.12,1.3,3.09,2.72,2.99,3.63,5.3
d_0,0.02,0.04,0.04,0.07,0.06,0.14,0.65,0.88,1.0,1.07,1.17,1.73,2.4,2.89,3.22,4.78
c_0,0.03,0.04,0.03,0.05,0.07,0.11,0.59,0.88,1.02,1.0,1.48,1.86,1.98,2.57,3.24,4.05
b_0,0.03,0.03,0.03,0.04,0.06,0.08,0.56,0.76,0.83,0.65,1.0,1.75,2.76,2.25,2.92,3.36
f_0,0.02,0.02,0.02,0.03,0.03,0.08,0.31,0.31,0.59,0.55,0.52,1.0,1.09,1.53,2.41,1.86
a_0,0.01,0.02,0.02,0.02,0.03,,0.3,0.35,0.4,0.5,0.4,0.91,1.0,1.16,1.77,2.17
h_0,0.01,0.02,0.02,0.02,0.02,0.05,0.26,0.32,0.35,0.38,0.46,0.7,0.85,1.0,1.46,2.01
e_0,0.01,0.01,0.01,0.01,0.02,0.04,0.2,0.29,0.31,0.29,0.36,0.4,0.56,0.66,1.0,1.22
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.12,0.19,0.2,0.24,0.28,0.56,0.43,0.5,0.76,1.0
