,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.23,0.05,0.02,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.06,,0.09,0.04,0.04,0.07
e_1,0.03,2.26,0.02,0.02,0.03,0.02,0.07,0.06,0.04,0.1,0.07,0.06,0.1,0.04,,0.06
d_1,0.03,0.03,2.34,0.02,0.02,0.02,0.05,0.13,0.04,,0.07,0.08,0.09,0.04,0.05,0.06
c_1,0.03,0.03,0.04,2.37,0.05,0.02,0.05,,0.04,0.06,0.07,0.07,0.08,0.03,0.03,0.08
b_1,0.03,0.03,0.02,0.03,2.45,,0.06,0.06,0.06,0.05,,0.06,0.1,0.04,0.05,0.06
a_1,0.02,0.02,0.03,0.03,,3.02,0.08,0.08,0.07,0.07,0.05,0.04,0.1,,,
h_1,0.18,0.09,0.11,0.11,0.13,0.1,2.69,0.19,0.15,0.24,0.25,0.2,,0.11,0.15,0.37
c_0,0.16,0.18,0.16,,0.16,0.08,0.26,2.04,0.19,0.27,0.46,0.29,0.34,0.32,0.28,0.25
g_1,0.11,0.09,0.18,0.11,0.07,0.07,0.21,0.3,3.05,0.18,0.15,0.32,0.25,0.28,,
d_0,0.19,0.17,,0.28,0.12,0.12,0.25,0.33,0.23,2.02,0.26,0.19,0.43,0.22,0.16,0.39
b_0,0.19,0.18,0.15,0.12,,0.09,0.16,0.29,0.21,0.32,2.21,0.28,0.41,0.48,0.19,0.44
f_0,,0.14,0.13,0.18,0.16,0.11,0.25,0.27,0.27,0.33,0.23,2.2,0.34,0.23,0.56,0.35
h_0,0.27,0.18,0.2,0.16,0.2,0.15,,0.5,0.48,0.73,0.51,0.35,,0.37,0.35,0.7
a_0,0.15,0.17,0.14,0.15,0.1,,0.24,0.37,0.2,0.35,0.27,0.27,0.29,2.72,0.29,0.29
e_0,0.14,,0.11,0.14,0.16,,0.33,0.29,,0.33,0.31,0.2,0.34,0.26,2.9,0.46
g_0,0.16,0.11,0.38,0.2,0.18,,0.6,0.49,,0.47,0.23,0.82,0.37,0.38,0.33,
