,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.07,3.58,3.43,3.04,3.33,2.49,0.84,0.91,1.15,0.76,0.92,2.11,0.62,0.78,0.81,0.71
e_1,2.08,1.07,3.8,3.37,3.43,2.65,1.21,1.23,1.33,1.36,0.96,1.03,0.8,0.79,2.78,0.86
c_1,3.93,2.87,1.07,4.21,3.74,3.11,1.29,0.7,1.23,1.36,0.95,0.86,0.95,0.94,0.91,0.68
d_1,3.71,4.63,3.45,1.07,3.61,2.79,1.26,2.93,0.81,1.28,1.11,0.89,0.69,0.83,0.91,0.56
b_1,3.85,3.76,2.38,4.19,1.07,4.56,2.0,1.17,1.48,1.39,3.03,1.34,0.85,1.25,0.94,0.74
a_1,6.38,5.93,4.43,6.66,2.82,1.07,2.38,1.73,2.46,1.58,2.43,1.52,1.34,3.69,1.45,1.14
h_1,9.02,7.67,7.51,6.8,5.94,6.81,1.39,2.22,3.39,2.06,2.09,2.2,2.81,1.81,2.02,2.03
d_0,9.51,4.96,10.09,10.91,7.93,6.06,3.65,1.62,2.63,1.97,2.31,1.89,1.95,2.29,1.75,2.3
g_1,10.83,8.24,9.63,9.58,9.39,6.18,2.58,3.4,1.4,2.45,2.5,2.65,1.6,1.94,2.13,3.42
c_0,12.9,8.51,26.01,5.02,9.08,7.78,3.82,3.41,3.26,1.57,2.47,2.71,2.29,2.89,2.01,2.3
b_0,10.49,9.61,13.19,7.21,16.86,8.54,4.3,2.84,3.5,1.87,1.54,3.23,2.53,3.39,2.28,2.76
f_0,18.37,10.17,12.07,10.86,8.13,8.0,4.08,4.01,2.49,3.03,2.84,1.62,2.44,2.75,3.47,1.69
h_0,12.98,12.19,12.17,10.86,11.7,8.52,7.46,4.04,5.93,2.83,2.87,2.97,4.39,3.01,2.89,2.48
a_0,13.79,15.36,11.45,12.79,13.79,,5.04,3.9,6.22,3.29,2.09,3.1,3.21,1.68,3.47,2.78
e_0,14.89,22.84,11.54,11.16,11.32,14.11,5.08,5.21,4.35,3.75,3.73,2.05,2.81,3.15,1.66,2.99
g_0,14.51,12.4,14.37,14.38,14.56,12.4,4.28,3.8,5.77,4.12,3.74,3.6,2.66,3.55,3.19,4.28
