,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.44,1.79,1.92,1.89,2.19,1.99,0.44,0.38,0.65,0.35,0.35,0.87,0.2,0.37,0.41,0.34
e_1,1.12,0.43,2.23,2.47,2.36,2.48,0.65,0.41,0.68,0.44,0.37,0.5,0.35,0.42,0.95,0.34
d_1,2.4,2.61,0.42,1.99,1.87,1.7,0.52,0.38,0.33,1.36,0.4,0.4,0.3,0.4,0.43,0.17
c_1,2.1,1.83,3.08,0.41,2.09,1.7,0.7,0.76,0.66,0.23,0.4,0.38,0.35,0.39,0.36,0.29
b_1,2.32,2.32,2.11,1.18,0.4,2.7,0.58,0.58,0.77,0.5,1.05,0.4,0.34,0.5,0.4,0.34
a_1,3.04,3.21,2.49,4.1,1.33,0.33,0.79,0.68,0.89,0.55,0.92,0.59,0.43,1.95,0.78,0.5
h_1,3.51,3.19,2.79,3.94,2.93,2.8,0.33,0.72,1.15,0.85,1.04,0.75,0.91,0.65,0.64,0.48
c_0,4.48,3.54,1.89,9.85,4.36,3.06,1.19,0.37,0.94,0.92,0.81,0.82,0.52,0.82,0.71,0.57
g_1,4.01,3.23,3.75,4.1,4.08,3.47,0.92,1.11,0.3,0.87,0.71,0.82,0.42,1.05,0.73,1.36
d_0,4.73,2.05,5.92,4.51,4.67,3.85,1.23,0.9,1.4,0.41,0.77,0.66,0.51,0.73,0.76,0.67
b_0,4.32,3.93,3.08,5.7,7.25,4.33,1.06,0.45,1.42,0.85,0.36,0.9,0.5,0.88,0.81,0.76
f_0,9.6,3.99,3.11,3.58,4.07,4.26,1.34,0.85,0.73,0.81,0.94,0.37,0.69,0.85,1.09,0.37
h_0,4.41,4.23,4.21,5.2,4.27,4.06,1.99,1.1,1.23,1.04,0.82,0.91,1.04,1.02,0.97,0.79
a_0,5.73,4.53,4.59,4.02,6.33,9.02,1.46,0.95,1.32,0.94,0.45,0.84,0.7,0.33,0.96,0.76
e_0,6.81,8.64,4.11,4.83,4.5,6.03,1.44,0.9,1.39,1.25,0.83,0.46,0.73,0.9,0.31,0.72
g_0,6.8,4.88,4.4,5.13,4.37,4.56,1.02,1.19,2.22,1.08,0.98,1.16,0.47,0.97,0.8,1.07
