,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.3,0.91,0.92,0.96,1.04,0.66,0.72,0.48,0.59,0.57,,0.52,0.61,0.57,0.53
e_1,0.77,1.0,0.82,1.11,0.89,0.71,0.67,0.65,0.56,0.97,0.57,0.82,0.62,0.59,0.62,
d_1,1.1,1.22,1.0,0.87,0.95,0.75,0.74,0.82,0.61,,0.89,0.54,0.51,0.46,0.5,0.59
c_1,1.08,0.9,1.15,1.0,1.14,0.82,0.85,,0.57,0.54,0.65,0.54,0.57,0.46,0.7,0.62
b_1,1.04,1.13,1.05,0.88,1.0,1.3,0.85,0.81,0.57,0.68,,0.59,0.75,0.65,0.52,0.53
a_1,0.96,1.41,1.34,1.22,0.77,1.0,0.76,0.86,,1.07,0.71,0.69,0.76,,0.55,
h_1,1.51,1.49,1.34,1.18,1.18,1.31,1.0,0.87,1.06,0.91,1.12,0.82,,0.73,0.93,0.68
c_0,1.38,1.53,1.21,,1.23,1.16,1.15,1.0,1.05,1.05,1.37,0.88,0.95,0.87,0.84,0.72
g_1,2.09,1.8,1.65,1.75,1.77,,0.94,0.96,1.0,0.76,0.9,1.03,0.63,0.79,,
d_0,1.69,1.03,,1.86,1.46,0.94,1.1,0.95,1.31,1.0,0.98,0.99,0.93,1.0,1.01,0.83
b_0,1.76,1.74,1.12,1.54,,1.41,0.89,0.73,1.11,1.02,1.0,1.3,0.92,,0.84,0.96
f_0,,1.23,1.86,1.86,1.7,1.45,1.23,1.13,0.97,1.01,0.77,1.0,1.18,1.05,0.63,1.14
h_0,1.92,1.61,1.98,1.75,1.34,1.31,,1.06,1.58,1.08,1.09,0.85,,0.73,1.08,0.83
a_0,1.63,1.7,2.15,2.17,1.54,,1.36,1.15,1.27,1.0,,0.95,1.37,1.0,0.95,
g_0,1.74,1.62,2.01,1.44,1.91,1.8,1.08,1.19,,0.99,1.19,1.59,0.92,1.05,,0.86
e_0,1.89,,1.68,1.6,1.9,,1.47,1.38,,1.2,1.05,0.88,1.2,,1.17,1.0
