,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,2.42,1.15,1.55,1.05,1.19,1.14,2.42,4.32,2.55,2.67,3.04,2.63,3.46,2.99,3.47,2.21
f_1,1.8,2.49,1.19,1.1,1.16,1.21,2.07,2.31,1.98,2.56,1.56,2.4,2.73,2.31,3.08,2.13
c_1,1.1,1.17,2.58,1.3,1.93,1.18,2.11,2.18,2.17,1.47,2.72,2.11,3.64,2.61,3.53,2.71
d_1,1.2,1.46,1.02,2.6,1.17,1.08,2.46,1.98,2.28,4.22,2.75,3.17,3.65,2.58,3.47,2.65
b_1,1.16,1.17,1.02,1.25,2.72,2.21,2.45,2.28,2.62,2.46,2.97,2.02,3.4,2.46,2.8,2.59
a_1,1.17,1.23,1.28,1.54,1.07,3.17,2.34,2.67,2.58,2.67,3.14,3.24,3.31,1.96,3.42,3.87
h_1,1.21,1.74,1.44,1.45,1.23,1.3,3.96,2.48,3.23,2.55,2.82,2.63,2.8,3.14,4.16,3.06
d_0,1.16,1.34,2.45,0.95,1.47,1.14,2.77,3.86,2.45,1.94,2.95,2.75,3.61,3.22,3.61,3.35
g_1,1.3,1.31,1.45,1.9,1.15,1.24,2.53,2.74,4.46,2.72,4.05,2.62,3.31,2.99,2.7,2.91
c_0,1.51,1.49,1.1,1.32,1.19,1.21,3.13,3.55,2.82,4.16,3.25,5.01,3.6,3.45,3.76,3.18
f_0,1.19,1.31,1.53,1.44,1.46,1.16,2.99,2.88,2.45,2.87,4.24,3.37,3.94,3.25,3.38,5.71
b_0,1.48,1.56,1.42,1.22,1.0,0.95,3.06,3.49,2.85,2.7,2.87,4.62,3.77,5.59,3.4,3.34
h_0,1.25,1.82,1.17,1.4,1.39,1.22,2.38,2.7,3.16,3.04,2.7,3.09,2.98,3.08,4.61,2.93
a_0,1.42,1.42,1.51,1.34,1.44,0.96,2.82,2.97,2.43,2.72,2.85,2.78,3.69,5.11,3.61,3.3
g_0,1.26,1.23,1.19,1.84,1.45,1.1,2.63,2.75,2.32,3.04,4.26,3.21,3.09,2.97,3.24,3.61
e_0,1.11,1.49,1.57,1.55,1.54,1.03,2.89,2.82,3.02,3.08,2.26,3.01,4.07,3.37,3.73,5.31
