,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.34,0.94,0.86,0.95,0.91,0.87,1.01,1.01,1.03,0.87,0.89,0.77,0.8,0.87,1.13
e_1,0.74,1.0,1.32,0.97,0.9,1.09,1.09,1.37,0.89,1.06,1.14,1.14,1.17,1.2,1.14,1.12
c_1,1.07,0.76,1.0,1.06,1.41,1.0,1.13,0.69,0.86,0.88,0.76,0.92,1.0,1.07,0.86,0.93
d_1,1.16,1.04,0.94,1.0,0.96,0.82,0.9,1.0,1.25,0.8,1.05,0.94,1.14,0.85,0.99,0.81
b_1,1.05,1.1,0.71,1.05,1.0,1.43,0.99,0.97,1.01,1.02,1.04,1.03,1.11,0.99,0.87,1.02
a_1,1.1,0.91,1.01,1.24,0.7,1.0,1.23,1.17,1.09,1.28,1.45,1.1,0.95,1.13,2.12,1.08
h_1,1.12,0.98,0.88,1.07,0.98,0.79,1.0,0.97,0.87,1.24,0.89,0.97,0.99,1.01,1.1,1.24
d_0,0.99,0.74,1.44,0.99,1.18,0.84,1.02,1.0,1.0,1.09,1.08,1.05,1.01,1.08,0.86,1.16
c_0,1.06,1.0,1.26,0.78,0.98,0.88,1.11,1.02,1.0,1.05,1.4,1.12,0.99,0.97,1.05,1.05
g_1,0.97,0.91,1.12,1.23,1.01,0.85,0.8,0.92,0.95,1.0,0.93,1.15,0.87,1.12,1.13,0.64
b_0,1.09,0.89,1.36,0.9,1.09,0.71,1.08,0.95,0.73,1.1,1.0,0.91,1.02,1.12,1.47,0.98
f_0,1.09,0.94,1.05,1.04,0.97,0.88,1.06,0.95,0.87,0.83,1.04,1.0,1.06,1.45,1.11,0.81
h_0,1.27,0.85,1.04,0.9,0.86,1.0,1.01,1.03,1.02,1.14,1.0,0.94,1.0,0.92,0.88,1.27
e_0,1.28,0.82,0.97,1.16,0.99,0.87,1.01,0.89,1.04,0.89,0.87,0.74,1.06,1.0,1.07,1.11
a_0,1.15,0.9,1.12,1.06,1.24,,0.94,1.15,0.94,0.93,0.66,0.89,1.13,1.07,1.0,0.98
g_0,0.89,0.93,1.1,1.25,0.96,0.98,0.83,0.88,0.97,1.41,1.03,1.2,0.75,0.89,1.01,1.0
