,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.91,0.34,0.36,0.24,0.31,0.16,0.31,0.24,0.52,0.21,0.24,0.21,0.17,0.26,0.12,0.23
f_1,0.56,0.91,0.31,0.27,0.26,0.13,0.28,0.24,0.3,0.2,0.16,0.2,0.18,0.26,0.1,0.19
c_1,0.35,0.33,0.9,0.26,0.48,0.17,0.28,0.24,0.28,0.15,0.23,0.18,0.16,0.27,0.17,0.19
d_1,0.34,0.36,0.23,0.91,0.25,0.17,0.29,0.27,0.17,0.45,0.25,0.28,0.24,0.3,0.21,0.22
b_1,0.3,0.31,0.33,0.3,0.9,0.36,0.27,0.2,0.31,0.23,0.22,0.16,0.14,0.25,0.17,0.23
a_1,0.31,0.36,0.36,0.3,0.3,0.88,0.37,0.23,0.28,0.24,0.25,0.23,0.13,0.24,0.19,0.21
h_1,0.37,0.51,0.32,0.33,0.26,0.18,0.63,0.33,0.31,0.23,0.23,0.24,0.18,0.21,0.17,0.28
g_1,0.35,0.33,0.33,0.53,0.27,0.18,0.3,0.6,0.24,0.28,0.37,0.28,0.21,0.29,0.18,0.19
d_0,0.34,0.4,0.66,0.2,0.31,0.16,0.32,0.25,0.5,0.17,0.25,0.21,0.21,0.26,0.17,0.22
c_0,0.38,0.41,0.26,0.38,0.24,0.17,0.35,0.31,0.29,0.49,0.27,0.51,0.28,0.3,0.18,0.27
f_0,0.35,0.32,0.37,0.35,0.3,0.2,0.35,0.29,0.37,0.25,0.49,0.3,0.26,0.3,0.39,0.22
b_0,0.39,0.42,0.35,0.39,0.19,0.13,0.36,0.33,0.27,0.33,0.26,0.51,0.46,0.28,0.16,0.24
a_0,0.38,0.41,0.35,0.34,0.28,0.15,0.35,0.31,0.3,0.31,0.33,0.27,0.47,0.33,0.25,0.23
h_0,0.35,0.51,0.38,0.35,0.28,0.15,0.25,0.34,0.34,0.27,0.2,0.24,0.23,0.23,0.17,0.3
e_0,0.21,0.42,0.36,0.37,0.33,0.2,0.41,0.28,0.3,0.31,0.25,0.27,0.19,0.31,0.43,0.24
g_0,0.32,0.37,0.37,0.53,0.3,0.16,0.31,0.21,0.28,0.25,0.38,0.24,0.2,0.28,0.2,0.17
