,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,5.79,2.4,1.98,1.96,2.21,2.13,9.42,17.92,8.85,7.07,13.14,11.62,16.99,12.81,16.9,13.0
f_1,1.95,6.09,3.89,2.03,1.79,2.12,7.98,8.05,7.27,10.7,9.8,5.84,14.74,10.06,13.66,8.58
e_1,1.97,2.34,6.3,2.86,2.36,2.13,7.95,9.02,7.24,18.56,11.14,11.64,16.96,11.33,15.23,8.07
c_1,2.34,1.97,2.03,7.39,4.06,2.01,6.12,6.05,7.24,10.12,6.65,9.25,15.26,8.96,14.02,12.91
b_1,2.33,2.08,1.99,1.81,7.97,4.73,8.02,10.16,7.94,9.1,7.99,12.23,14.95,9.52,15.94,10.79
a_1,2.3,2.5,2.17,2.64,2.12,10.91,8.5,9.6,8.96,9.8,11.49,10.91,15.91,6.79,17.67,10.36
h_1,2.51,3.05,2.37,2.84,1.9,2.06,17.34,10.66,12.79,10.45,10.55,11.62,12.83,12.04,20.27,12.83
c_0,2.64,2.7,2.49,1.86,2.04,2.64,9.98,17.57,10.6,11.57,22.77,11.3,18.27,17.41,19.43,14.22
g_1,3.56,2.18,2.03,2.49,2.17,2.11,8.58,10.99,20.43,8.27,10.72,16.36,17.02,12.44,13.4,15.74
d_0,1.77,2.4,2.37,4.4,2.88,2.53,8.45,8.26,8.01,17.69,11.18,10.69,16.4,10.03,15.4,10.62
b_0,2.55,2.67,2.67,2.84,1.7,2.05,9.27,11.19,9.73,10.82,20.27,13.18,18.0,25.44,18.63,15.77
f_0,2.88,1.99,1.91,2.83,2.67,2.51,9.67,12.06,11.59,10.55,11.75,22.64,18.22,14.86,18.84,27.28
h_0,2.68,3.31,2.48,2.55,2.5,2.18,7.46,10.04,10.78,10.93,11.37,11.25,14.05,12.87,22.67,12.96
a_0,2.75,2.64,2.54,2.65,2.32,1.48,11.47,11.44,9.78,10.39,11.67,11.87,19.63,27.04,21.05,15.25
g_0,3.83,2.17,1.97,2.52,2.26,2.14,8.69,11.8,8.78,8.79,10.94,19.19,17.07,11.85,16.45,14.21
e_0,2.59,2.88,1.9,2.67,2.21,2.67,10.36,11.64,11.31,11.6,12.6,11.08,19.37,11.52,16.43,27.08
