,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,0.66,2.19,2.27,2.07,2.0,1.67,0.81,0.59,0.9,1.99,0.82,0.63,0.86,0.57,0.76,0.51
f_1,1.95,0.66,2.25,2.48,2.01,1.77,0.75,1.02,0.63,0.71,0.7,1.38,0.59,0.51,0.51,0.66
e_1,2.27,1.35,0.65,2.39,2.07,2.1,1.21,0.89,0.85,0.96,1.11,0.77,0.72,0.54,1.43,0.57
c_1,2.45,2.06,1.83,0.65,2.37,1.84,1.18,0.98,1.31,0.45,0.81,0.86,0.77,0.77,0.79,0.55
b_1,2.73,2.34,2.33,1.35,0.63,2.44,1.08,1.03,0.83,1.01,1.37,0.76,0.68,0.68,0.91,0.76
a_1,2.9,2.46,3.2,3.1,1.62,0.57,1.27,1.41,1.25,0.9,0.97,1.02,2.47,0.82,0.87,0.8
h_1,2.48,3.22,2.35,2.24,2.87,2.38,0.6,1.63,0.91,1.04,0.87,0.98,1.0,1.42,0.79,0.79
g_1,3.29,2.93,3.07,2.9,2.61,2.29,0.92,0.57,0.89,1.09,1.07,1.12,0.9,0.61,0.97,1.55
c_0,1.65,3.85,2.7,6.3,3.39,2.48,1.48,1.53,0.66,1.26,1.23,0.97,1.18,0.8,1.04,0.81
d_0,4.62,3.7,1.6,3.78,2.42,3.38,1.49,1.57,0.99,0.66,0.91,1.17,0.89,0.83,1.02,0.86
b_0,2.58,3.21,2.59,3.05,5.61,3.89,1.3,1.39,0.74,1.2,0.62,1.15,1.42,1.07,1.12,0.91
f_0,3.12,5.87,2.76,3.08,3.06,2.9,1.23,1.06,0.98,1.08,0.87,0.64,0.94,1.04,1.16,0.75
a_0,3.07,4.04,3.37,3.52,4.59,,1.32,1.54,1.12,1.45,0.71,1.27,0.6,1.06,0.85,1.01
h_0,3.55,3.44,4.06,2.91,3.22,2.57,2.34,2.05,1.3,1.31,1.06,1.23,1.01,1.61,1.05,1.01
e_0,3.03,5.41,5.26,3.36,3.01,3.4,1.52,1.33,1.35,1.21,1.05,0.81,1.37,1.05,0.6,1.01
g_0,3.49,4.49,3.74,3.74,3.26,3.8,1.34,2.92,1.21,1.2,1.06,1.21,1.25,0.89,1.0,1.37
