,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.43,0.94,0.9,0.82,0.83,0.73,0.19,0.25,0.19,0.17,0.18,0.23,0.1,0.15,0.14,0.15
e_1,0.57,0.42,1.02,0.94,0.91,0.9,0.26,0.29,0.22,0.2,0.22,0.24,0.14,0.19,0.16,0.21
d_1,0.95,1.07,0.4,1.07,0.94,0.77,0.23,0.17,0.27,0.17,0.17,0.18,0.12,0.18,0.09,0.18
c_1,0.94,0.79,1.07,0.4,0.99,0.99,0.28,0.28,0.13,0.25,0.19,0.2,0.15,0.2,0.14,0.18
b_1,1.13,1.01,1.14,0.64,0.37,0.98,0.35,0.31,0.23,0.35,0.36,0.22,0.16,0.22,0.17,0.23
a_1,1.45,1.23,1.43,1.06,0.65,0.32,0.43,0.35,0.27,0.33,0.35,0.28,0.2,0.4,0.18,0.28
h_1,1.89,1.67,1.6,1.82,1.77,1.44,0.29,0.48,0.4,0.32,0.34,0.33,0.3,0.29,0.27,0.32
g_1,1.89,2.07,1.75,2.04,1.89,1.66,0.43,0.27,0.49,0.39,0.42,0.4,0.23,0.36,0.36,0.34
d_0,1.98,1.27,2.51,2.25,1.92,1.85,0.56,0.66,0.31,0.42,0.47,0.42,0.36,0.45,0.33,0.41
c_0,2.41,2.16,1.24,2.89,2.28,1.67,0.58,0.54,0.59,0.28,0.43,0.38,0.31,0.4,0.26,0.37
b_0,2.34,1.94,1.61,2.67,2.77,1.69,0.57,0.58,0.41,0.24,0.28,0.38,0.3,0.39,0.25,0.34
f_0,2.86,2.11,2.09,2.26,1.97,2.01,0.68,0.44,0.46,0.42,0.48,0.27,0.31,0.45,0.2,0.43
h_0,2.51,2.51,2.32,2.33,1.99,1.93,0.93,0.73,0.53,0.44,0.48,0.43,0.44,0.41,0.3,0.38
a_0,2.74,2.85,2.15,2.5,3.14,3.09,0.64,0.66,0.57,0.39,0.3,0.48,0.33,0.27,0.34,0.36
g_0,2.84,2.63,2.6,2.87,2.43,2.5,0.59,0.93,0.64,0.48,0.55,0.49,0.3,0.54,0.4,0.48
e_0,4.05,2.86,2.56,2.6,2.87,2.55,0.65,0.69,0.54,0.48,0.5,0.27,0.42,0.41,0.29,0.25
