,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.38,0.46,0.28,0.3,0.32,0.22,0.48,0.55,0.4,0.46,0.62,,0.82,0.59,0.61,0.78
e_1,0.24,2.4,0.31,0.22,0.29,0.27,0.49,0.95,0.65,0.73,0.61,0.47,0.84,0.49,,0.64
c_1,0.23,0.27,2.51,0.32,0.43,0.34,0.63,0.57,0.45,,0.48,0.63,0.79,0.76,0.52,0.69
d_1,0.28,0.28,0.22,2.55,0.28,0.22,0.61,,0.48,1.12,0.59,0.58,0.8,0.67,0.6,0.68
b_1,0.23,0.27,0.25,0.25,2.69,0.44,0.73,0.67,0.5,0.6,,0.83,0.82,0.51,0.78,0.46
a_1,0.34,0.33,0.29,0.27,0.21,3.32,0.49,0.57,,0.49,,0.65,0.86,,,0.74
h_1,0.75,0.59,0.55,0.55,0.38,0.49,3.86,0.98,1.4,1.25,0.97,0.99,,1.1,1.42,1.86
d_0,0.69,0.55,0.88,,0.68,0.7,1.42,3.35,1.03,1.18,1.69,1.09,1.36,1.31,1.05,2.1
g_1,0.57,0.47,0.57,0.85,0.5,,0.77,1.13,4.35,1.44,0.98,1.56,1.04,1.27,1.26,
c_0,0.77,0.36,,0.43,0.53,0.7,1.13,1.78,1.11,3.63,2.36,1.35,1.95,1.57,1.1,1.45
b_0,0.6,0.61,0.62,0.59,,,1.39,1.19,1.28,1.51,3.93,1.39,1.93,1.87,1.41,1.46
f_0,,0.6,0.69,0.63,0.53,0.61,1.3,1.53,1.17,1.24,1.11,4.06,1.71,1.4,2.24,1.68
h_0,0.79,0.7,0.56,0.88,0.79,0.75,,1.86,1.89,1.55,1.46,1.94,,1.57,1.32,3.0
a_0,0.65,0.64,0.57,0.61,0.51,,1.29,1.49,1.19,1.02,1.2,1.4,1.81,4.56,,1.63
e_0,0.61,,0.65,0.63,0.58,,1.11,1.39,1.26,1.69,1.49,1.16,1.94,,4.59,2.08
g_0,0.71,0.75,0.88,1.01,0.99,0.74,1.31,1.14,,1.6,1.46,2.25,2.06,1.63,1.59,
