,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.3,0.9,0.84,0.88,0.78,0.6,0.67,0.62,0.66,0.54,0.55,0.45,0.44,0.49,0.61
e_1,0.77,1.0,1.27,0.91,0.84,0.91,0.71,0.9,0.61,0.69,0.69,0.69,0.68,0.62,0.61,0.59
c_1,1.11,0.79,1.0,1.06,1.4,0.91,0.77,0.48,0.57,0.57,0.48,0.59,0.61,0.61,0.49,0.51
d_1,1.19,1.1,0.95,1.0,0.94,0.73,0.65,0.72,0.84,0.55,0.69,0.59,0.68,0.49,0.57,0.45
b_1,1.14,1.18,0.73,1.06,1.0,1.33,0.73,0.67,0.71,0.69,0.67,0.66,0.69,0.58,0.5,0.6
a_1,1.28,1.08,1.11,1.37,0.75,1.0,0.98,0.87,0.82,0.91,1.05,0.77,0.65,0.74,1.04,0.68
h_1,1.63,1.49,1.36,1.52,1.31,1.0,1.0,0.91,0.84,1.13,0.84,0.91,0.82,0.84,0.91,0.97
d_0,1.45,1.12,2.04,1.33,1.64,1.12,1.06,1.0,0.87,1.05,0.95,0.95,0.89,0.92,0.73,1.0
c_0,1.66,1.52,1.82,1.15,1.35,1.22,1.17,1.16,1.0,1.13,1.39,1.03,0.9,0.86,0.92,0.9
g_1,1.53,1.43,1.72,1.81,1.45,1.18,0.88,0.95,0.9,1.0,0.91,1.08,0.76,0.94,0.91,0.64
b_0,1.78,1.47,2.08,1.32,1.77,0.96,1.18,1.07,0.73,1.13,1.0,0.88,0.99,0.95,1.31,0.86
f_0,1.85,1.47,1.68,1.68,1.5,1.29,1.1,1.09,0.96,0.88,1.07,1.0,0.97,1.3,0.98,0.71
h_0,2.09,1.5,1.69,1.52,1.47,1.41,1.23,1.16,1.08,1.29,1.07,1.01,1.0,0.89,0.85,1.14
e_0,2.36,1.59,1.64,2.02,1.68,1.37,1.28,1.06,1.18,1.05,1.04,0.83,1.08,1.0,1.03,1.07
a_0,2.01,1.69,2.04,1.88,2.09,1.06,1.19,1.38,1.04,1.11,0.73,1.01,1.2,1.12,1.0,0.94
g_0,1.65,1.77,1.87,2.32,1.56,1.5,1.04,1.04,1.13,1.51,1.13,1.36,0.86,0.97,1.06,1.0
