,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.0,0.86,0.99,1.39,1.47,2.84,19.38,27.34,41.53,32.12,42.57,42.35,68.42,88.56,100.31,104.1
f_1,1.2,1.0,0.97,1.04,1.29,2.31,15.59,24.25,30.2,30.15,33.32,37.95,55.94,63.78,86.53,86.41
d_1,0.99,1.04,1.0,0.9,1.17,2.56,17.03,18.79,29.69,35.29,30.44,40.47,61.03,77.04,76.74,86.5
c_1,0.73,0.96,1.14,1.0,1.52,2.99,16.49,21.47,19.85,25.24,29.94,30.87,62.05,69.46,80.31,81.75
b_1,0.69,0.77,0.84,0.66,1.0,2.95,14.77,19.22,21.31,26.25,23.94,28.73,54.17,61.79,74.18,61.83
a_1,0.35,0.4,0.4,0.34,0.35,1.0,7.08,8.74,10.37,11.96,12.24,15.36,24.06,27.37,33.5,30.46
h_1,0.05,0.06,0.06,0.06,0.07,0.14,1.0,1.46,1.54,1.7,1.82,2.21,3.52,3.8,5.44,4.57
g_1,0.04,0.04,0.05,0.05,0.05,0.11,0.67,1.0,1.03,1.21,1.74,1.67,2.49,3.26,3.88,3.46
d_0,0.02,0.03,0.03,0.05,0.05,0.09,0.65,0.89,1.0,0.86,1.24,1.24,2.17,2.68,3.19,2.98
c_0,0.03,0.03,0.03,0.04,0.04,0.09,0.59,0.79,1.11,1.0,1.21,1.67,2.39,2.61,2.8,3.4
f_0,0.02,0.03,0.03,0.03,0.04,0.09,0.53,0.57,0.78,0.86,1.0,1.11,1.85,3.24,2.23,2.72
b_0,0.02,0.03,0.02,0.03,0.03,0.06,0.46,0.63,0.8,0.59,0.94,1.0,1.79,1.97,2.33,3.08
h_0,0.01,0.02,0.02,0.02,0.02,0.04,0.28,0.41,0.43,0.41,0.54,0.55,1.0,1.15,1.57,1.31
e_0,0.01,0.01,0.01,0.01,0.02,0.04,0.26,0.3,0.38,0.38,0.3,0.48,0.91,1.0,1.09,1.0
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.18,0.26,0.3,0.36,0.44,0.44,0.64,0.94,1.0,0.94
a_0,0.01,0.01,0.01,0.01,0.02,0.03,0.21,0.29,0.29,0.29,0.34,0.33,0.73,0.93,1.02,1.0
