,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.09,1.45,2.15,2.5,2.26,2.17,0.61,0.53,0.64,0.44,0.41,0.51,0.32,0.59,0.43,0.35
f_1,2.29,1.09,2.26,2.31,2.31,2.01,0.48,0.53,0.74,0.46,0.44,0.5,0.24,0.37,0.38,0.37
d_1,2.83,3.02,1.08,2.65,2.7,2.23,0.65,0.78,0.44,0.49,0.49,0.46,0.34,0.5,0.42,0.23
c_1,2.15,2.77,3.3,1.1,2.56,2.44,0.77,0.35,0.85,0.78,0.59,0.61,0.4,0.54,0.51,0.37
b_1,3.2,2.98,3.44,1.69,1.11,2.9,0.82,0.61,0.89,0.82,1.12,0.63,0.47,0.65,0.72,0.4
a_1,4.71,5.08,5.95,4.31,2.45,1.12,1.53,0.97,1.27,1.16,1.2,0.98,0.74,1.08,2.23,0.72
h_1,9.63,10.74,9.41,10.15,9.74,8.54,1.58,2.29,3.02,1.84,1.99,1.69,1.75,1.72,1.77,1.3
d_0,7.94,11.44,15.47,14.31,11.44,11.96,3.43,1.79,3.51,2.55,2.44,2.17,1.64,2.23,1.95,2.08
g_1,11.77,13.76,11.45,13.17,11.35,11.38,2.5,2.78,1.62,2.41,2.46,2.29,1.43,2.36,1.95,1.91
c_0,14.78,13.92,7.68,18.63,12.53,9.99,3.52,3.9,2.98,1.82,2.47,2.56,1.7,2.69,2.23,1.59
b_0,14.19,13.46,11.41,20.58,19.29,12.04,4.15,3.27,3.87,1.71,1.83,2.81,2.05,2.73,2.46,2.16
f_0,14.45,22.05,13.95,17.59,14.26,13.32,4.55,2.94,2.77,3.07,3.09,1.92,2.09,2.8,2.81,1.43
h_0,18.2,18.97,17.64,19.43,15.99,17.55,6.55,4.26,4.65,4.04,3.93,3.76,3.42,3.89,3.32,2.86
e_0,25.2,30.01,17.45,29.15,24.32,17.72,5.82,4.51,5.09,4.47,3.96,2.43,3.11,2.0,4.05,2.83
a_0,25.53,21.66,18.44,28.88,30.15,30.79,7.62,5.27,5.52,3.51,2.46,5.92,2.78,4.67,2.14,3.12
g_0,25.2,27.32,24.92,28.62,24.53,19.98,6.19,5.7,7.51,5.88,6.04,4.72,2.92,4.93,4.74,4.35
