,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.25,0.89,0.86,0.82,0.85,0.42,0.39,0.38,0.36,0.37,0.33,0.29,0.32,0.34,0.25
e_1,0.8,1.0,0.91,1.14,0.88,0.56,0.52,0.46,0.42,0.62,0.38,0.49,0.38,0.36,0.34,0.35
d_1,1.13,1.09,1.0,0.91,0.88,0.62,0.52,0.59,0.35,0.41,0.44,0.38,0.34,0.27,0.27,0.34
c_1,1.16,0.88,1.09,1.0,1.15,0.71,0.59,0.36,0.4,0.33,0.36,0.36,0.36,0.29,0.39,0.3
b_1,1.22,1.13,1.14,0.87,1.0,1.19,0.61,0.54,0.47,0.49,0.5,0.42,0.45,0.4,0.32,0.3
a_1,1.18,1.77,1.6,1.41,0.84,1.0,0.67,0.7,0.76,0.74,0.58,0.54,0.52,0.47,0.43,0.41
h_1,2.45,1.86,1.98,1.7,1.66,1.45,1.0,0.78,1.14,0.75,0.94,0.73,0.86,0.64,0.77,0.62
c_0,2.76,2.09,1.56,2.91,1.9,1.45,1.29,1.0,1.25,1.22,1.32,0.93,0.83,0.85,0.71,0.68
g_1,2.44,2.23,2.91,2.45,2.03,1.34,0.88,0.77,1.0,0.77,0.81,1.0,0.6,0.76,0.58,0.76
d_0,2.84,1.6,2.17,3.18,1.99,1.35,1.35,0.84,1.31,1.0,1.04,0.88,0.76,0.8,0.88,0.74
b_0,2.78,2.55,2.49,3.04,2.16,1.59,1.06,0.75,1.24,1.01,1.0,1.06,0.9,1.56,0.91,0.87
f_0,2.95,2.11,2.67,2.77,2.3,1.91,1.37,1.05,0.94,1.12,0.87,1.0,0.89,0.98,0.62,1.09
h_0,3.67,2.52,2.9,2.75,2.16,1.85,1.2,1.18,1.72,1.28,1.12,1.09,1.0,0.87,1.0,0.78
a_0,3.27,2.48,3.82,3.3,2.38,,1.63,1.23,1.28,1.23,0.72,1.11,1.28,1.0,0.99,1.19
g_0,2.78,2.88,3.85,2.8,3.07,2.02,1.26,1.39,1.73,1.17,1.12,1.64,0.98,0.95,1.0,0.98
e_0,4.37,2.52,3.07,3.46,3.35,2.37,1.53,1.49,1.23,1.3,1.18,0.94,1.28,0.84,1.0,1.0
