,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.88,0.16,0.07,0.08,0.07,0.03,0.07,0.08,0.07,0.06,0.08,0.01,0.08,0.05,0.04,0.05
e_1,0.11,0.87,0.07,0.07,0.08,0.06,0.07,0.14,0.07,0.05,0.09,0.05,0.09,0.04,0.01,0.06
d_1,0.1,0.1,0.88,0.06,0.08,0.04,0.06,0.02,0.15,0.05,0.07,0.08,0.08,0.06,0.04,0.07
c_1,0.09,0.09,0.08,0.87,0.14,0.04,0.06,0.07,0.01,0.06,0.06,0.06,0.07,0.05,0.05,0.06
b_1,0.08,0.09,0.06,0.09,0.88,0.09,0.09,0.09,0.07,0.05,0.02,0.07,0.09,0.03,0.04,0.07
a_1,0.09,0.09,0.1,0.08,0.06,0.87,0.08,0.08,0.07,0.06,0.05,0.07,0.08,,0.06,0.05
h_1,0.24,0.11,0.13,0.16,0.1,0.09,0.53,0.11,0.13,0.12,0.1,0.1,0.04,0.11,0.08,0.14
d_0,0.18,0.14,0.05,0.27,0.12,0.08,0.16,0.37,0.12,0.1,0.13,0.1,0.15,0.09,0.07,0.08
c_0,0.21,0.17,0.13,0.07,0.1,0.09,0.14,0.12,0.39,0.11,0.26,0.13,0.13,0.12,0.09,0.11
g_1,0.13,0.15,0.26,0.14,0.1,0.06,0.1,0.12,0.11,0.52,0.12,0.18,0.12,0.06,0.07,0.03
b_0,0.22,0.13,0.2,0.17,0.03,0.08,0.16,0.16,0.15,0.1,0.36,0.08,0.13,0.17,0.08,0.09
f_0,0.08,0.11,0.18,0.15,0.14,0.08,0.19,0.15,0.2,0.13,0.12,0.39,0.13,0.09,0.17,0.13
h_0,0.27,0.13,0.15,0.13,0.12,0.1,0.03,0.13,0.12,0.13,0.12,0.1,0.04,0.06,0.08,0.12
a_0,0.19,0.16,0.16,0.18,0.11,,0.17,0.16,0.17,0.11,0.15,0.09,0.15,0.35,0.07,0.07
e_0,0.19,0.06,0.17,0.16,0.14,0.1,0.22,0.17,0.16,0.11,0.14,0.09,0.12,0.09,0.34,0.16
g_0,0.16,0.09,0.24,0.13,0.09,0.11,0.15,0.1,0.16,,0.17,0.17,0.13,0.07,0.09,0.06
