,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,2.35,0.56,0.4,0.36,0.45,0.37,0.84,0.91,2.0,1.26,0.43,1.09,1.27,0.81,0.93,1.34
f_1,0.44,2.34,0.9,0.42,0.38,0.43,0.86,0.64,0.81,1.0,0.88,0.28,1.01,0.79,0.66,0.94
e_1,0.44,0.54,2.35,0.61,0.45,0.34,0.86,0.7,0.89,0.91,2.02,0.93,1.2,0.75,0.28,0.82
c_1,0.5,0.41,0.46,2.46,0.86,0.3,0.82,0.88,0.35,0.74,1.1,1.13,1.13,0.82,0.77,1.06
b_1,0.48,0.55,0.45,0.41,2.59,0.77,0.84,0.68,0.98,0.38,0.71,0.89,1.14,0.82,0.74,1.18
a_1,0.53,0.51,0.56,0.49,0.28,2.95,0.99,0.8,1.05,1.31,1.12,0.76,1.71,0.45,1.1,1.1
h_1,0.74,0.82,0.49,0.6,0.47,0.4,2.98,1.35,1.1,1.18,0.86,0.97,0.75,0.99,0.96,1.83
g_1,1.01,0.5,0.48,0.51,0.46,0.43,1.03,3.21,1.24,1.04,0.91,1.84,1.7,0.94,0.96,0.63
c_0,0.68,0.66,0.54,0.35,0.41,0.48,1.13,1.03,2.63,2.63,1.32,1.42,1.74,1.31,1.06,1.41
b_0,0.65,0.71,0.59,0.66,0.29,0.33,1.18,1.11,1.25,2.59,1.29,1.25,1.8,1.94,1.1,1.23
d_0,0.28,0.52,0.62,1.29,0.5,0.37,1.16,0.97,0.94,1.13,2.49,1.31,1.55,1.1,1.06,1.36
f_0,0.64,0.44,0.45,0.69,0.64,0.44,1.06,1.1,1.22,1.34,1.2,2.74,1.86,0.87,2.13,1.47
h_0,0.74,0.73,0.56,0.6,0.52,0.37,0.78,1.42,1.18,1.34,1.2,1.3,0.95,1.03,1.32,1.73
a_0,0.74,0.63,0.5,0.63,0.56,0.2,1.3,1.16,1.15,1.48,1.33,1.38,1.95,3.03,1.05,1.81
e_0,0.67,0.68,0.22,0.76,0.58,0.44,1.05,1.18,1.29,1.51,1.02,1.28,2.01,1.51,3.08,1.59
g_0,0.92,0.53,0.5,0.6,0.63,0.42,1.26,0.71,1.35,1.25,1.02,1.86,1.44,0.79,1.16,0.96
