,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,0.17,0.26,0.52,0.49,0.45,0.45,0.15,0.14,0.1,0.09,0.1,0.12,0.07,0.08,0.09,0.15
f_1,0.4,0.17,0.44,0.47,0.45,0.4,0.1,0.14,0.09,0.1,0.09,0.13,0.04,0.07,0.08,0.08
d_1,0.52,0.49,0.15,0.43,0.44,0.43,0.12,0.08,0.16,0.08,0.08,0.08,0.07,0.04,0.09,0.08
c_1,0.36,0.44,0.6,0.15,0.42,0.37,0.13,0.13,0.05,0.12,0.09,0.09,0.07,0.06,0.07,0.08
b_1,0.45,0.54,0.46,0.26,0.14,0.41,0.15,0.15,0.1,0.12,0.13,0.09,0.07,0.07,0.1,0.1
a_1,0.49,0.58,0.45,0.42,0.24,0.09,0.15,0.14,0.11,0.1,0.1,0.08,0.07,0.08,0.14,0.08
h_1,0.4,0.41,0.37,0.4,0.43,0.34,0.06,0.12,0.1,0.08,0.08,0.09,0.07,0.06,0.07,0.07
g_1,0.39,0.44,0.35,0.4,0.45,0.36,0.09,0.05,0.1,0.09,0.09,0.08,0.05,0.07,0.09,0.08
d_0,0.25,0.37,0.58,0.4,0.43,0.4,0.13,0.15,0.06,0.09,0.09,0.09,0.06,0.07,0.08,0.09
c_0,0.46,0.44,0.23,0.61,0.37,0.49,0.12,0.11,0.12,0.05,0.1,0.08,0.07,0.06,0.07,0.08
b_0,0.4,0.39,0.29,0.6,0.61,0.39,0.11,0.12,0.09,0.05,0.05,0.08,0.06,0.05,0.07,0.07
f_0,0.37,0.6,0.33,0.44,0.42,0.37,0.09,0.07,0.09,0.07,0.09,0.04,0.07,0.04,0.08,0.07
h_0,0.39,0.42,0.38,0.37,0.36,0.33,0.16,0.11,0.08,0.09,0.07,0.07,0.07,0.06,0.07,0.07
g_0,0.4,0.44,0.39,0.37,0.4,0.36,0.08,0.13,0.09,0.08,0.07,0.07,0.05,0.07,0.08,0.07
a_0,0.4,0.39,0.35,0.39,0.5,0.51,0.1,0.1,0.09,0.07,0.04,0.07,0.06,0.06,0.04,0.07
e_0,0.5,0.55,0.36,0.41,0.36,0.35,0.1,0.09,0.08,0.08,0.08,0.04,0.06,0.06,0.07,0.03
