,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.0,0.82,0.94,1.12,1.01,0.8,0.69,0.66,0.6,0.84,0.7,0.67,0.62,0.62,0.66,0.6
f_1,1.22,1.0,0.9,0.95,0.87,0.78,0.6,0.67,0.63,0.66,0.58,0.63,0.53,0.46,0.57,0.53
d_1,1.07,1.09,1.0,1.0,0.86,0.8,0.71,0.55,0.81,0.67,0.65,0.69,0.59,0.58,0.49,0.55
c_1,0.87,1.06,1.03,1.0,1.28,0.95,0.72,0.68,0.57,0.5,0.59,0.54,0.62,0.56,0.56,0.56
b_1,0.99,1.13,1.15,0.77,1.0,1.3,0.86,0.83,0.78,0.65,0.67,0.6,0.67,0.69,0.6,0.51
a_1,1.26,1.28,1.25,1.02,0.77,1.0,0.87,0.83,0.79,0.76,0.75,0.81,0.74,0.63,0.68,0.63
h_1,1.47,1.65,1.43,1.36,1.13,1.16,1.0,1.09,0.91,0.92,0.84,0.86,0.9,0.82,0.83,0.76
g_1,1.52,1.46,1.75,1.45,1.2,1.22,0.96,1.0,0.98,0.99,1.22,0.97,0.75,0.88,0.91,0.87
c_0,1.59,1.59,1.28,1.8,1.27,1.23,1.13,1.03,1.0,1.27,1.03,1.29,0.94,0.89,0.81,1.11
d_0,1.23,1.54,1.48,1.99,1.62,1.29,1.09,0.98,0.77,1.0,0.98,0.92,0.88,0.98,0.94,0.92
f_0,1.4,1.74,1.54,1.7,1.51,1.33,1.17,0.82,0.95,1.03,1.0,1.03,0.95,1.27,0.78,0.86
b_0,1.54,1.63,1.46,1.9,1.63,1.25,1.13,1.06,0.79,1.14,0.99,1.0,1.01,0.99,0.88,1.29
h_0,1.63,1.82,1.69,1.68,1.51,1.34,1.15,1.35,1.06,1.1,1.04,1.0,1.0,0.9,1.1,0.9
e_0,1.59,2.25,1.68,1.75,1.43,1.59,1.26,1.15,1.09,1.03,0.81,1.02,1.06,1.0,0.84,0.93
g_0,1.57,1.77,2.0,1.72,1.65,1.45,1.2,1.07,1.18,1.06,1.32,1.08,0.91,1.11,1.0,1.01
a_0,1.68,1.76,1.84,1.88,1.93,1.66,1.3,1.15,0.9,1.15,1.16,0.8,1.07,1.09,1.02,1.0
