,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.1,1.77,3.07,3.11,3.14,3.2,0.95,1.16,0.62,0.77,0.6,0.91,0.47,0.58,1.05,0.48
f_1,2.89,1.11,2.84,3.08,3.09,2.75,0.67,0.99,0.58,0.65,0.59,0.79,0.29,0.57,0.58,0.45
d_1,3.39,3.19,1.1,3.78,2.94,2.55,0.8,0.51,0.59,1.22,0.65,0.59,0.41,0.47,0.57,0.3
c_1,2.73,3.51,4.52,1.1,3.43,2.83,0.98,1.2,1.03,0.4,0.81,0.67,0.57,0.7,0.57,0.54
b_1,3.97,5.17,4.99,2.11,1.12,4.6,1.19,1.3,1.17,0.8,1.38,0.87,0.68,0.81,0.87,0.69
a_1,6.62,6.94,6.95,7.36,2.84,1.14,2.23,1.91,1.39,1.63,1.91,1.47,1.12,1.97,1.49,1.09
h_1,10.06,11.26,9.77,12.24,10.91,10.21,1.58,3.04,2.32,2.41,2.15,2.23,2.29,2.02,2.18,1.51
g_1,13.88,14.31,11.79,15.28,13.78,13.18,2.89,1.59,2.5,2.87,3.0,2.66,1.72,2.83,2.5,2.4
c_0,14.05,14.19,8.11,26.4,15.73,15.27,4.14,3.64,1.97,3.96,2.97,2.69,1.93,2.58,2.7,1.86
d_0,8.57,14.6,20.09,14.58,17.48,13.48,4.92,5.2,3.0,1.96,2.81,2.7,2.23,2.94,2.6,2.53
b_0,14.27,14.36,12.03,19.96,24.76,13.92,4.45,4.66,1.93,3.64,1.94,2.73,2.57,3.08,2.64,2.03
f_0,14.67,23.97,15.11,19.72,20.73,16.92,5.01,3.15,3.55,3.44,3.31,1.98,2.29,3.41,3.26,1.52
h_0,22.15,24.47,22.1,24.95,21.56,16.28,9.13,5.65,4.22,5.2,4.32,4.2,4.22,3.82,4.13,3.43
a_0,26.54,23.5,22.24,25.76,32.22,33.19,6.87,7.8,4.3,4.86,3.02,5.08,3.33,2.53,4.13,3.16
e_0,37.6,42.24,22.67,26.4,26.48,21.85,6.56,6.53,4.46,5.08,4.96,2.5,2.98,4.96,2.23,2.95
g_0,25.6,28.85,25.62,31.01,27.57,23.97,5.64,10.11,5.19,6.25,5.43,5.65,2.92,4.66,5.1,4.3
