,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,36.12,0.08,0.05,0.07,0.07,0.06,0.3,0.24,0.78,0.26,0.48,0.38,0.55,0.25,,0.55
f_1,0.11,38.04,0.06,0.06,0.07,0.07,0.33,0.26,0.52,0.42,0.43,,0.56,0.41,0.21,0.34
d_1,0.06,0.07,39.72,0.06,0.09,0.07,0.31,0.24,,0.72,0.43,0.33,0.71,0.29,0.4,0.58
c_1,0.06,0.06,0.08,40.67,0.15,0.06,0.32,0.23,0.35,,0.32,0.44,0.54,0.29,0.4,0.66
b_1,0.06,0.07,0.09,0.06,47.81,0.15,0.22,0.42,0.43,0.42,,0.3,0.45,0.29,0.28,0.44
a_1,0.08,0.06,0.06,0.1,0.06,71.65,0.39,0.27,0.5,0.22,0.25,0.35,0.72,,,0.42
h_1,0.28,0.4,0.24,0.27,0.29,0.21,31.43,1.69,1.37,1.41,1.15,0.94,,1.91,1.27,2.38
g_1,0.18,0.25,0.41,0.27,0.27,0.26,0.87,33.09,1.28,1.42,0.96,3.26,1.73,1.65,1.05,
d_0,0.38,0.28,,0.71,0.18,0.33,2.0,1.45,16.52,2.13,2.29,1.93,3.78,1.55,1.93,3.49
c_0,0.35,0.34,0.37,,0.24,0.36,1.58,1.31,1.82,20.62,2.24,2.46,3.49,2.35,2.25,3.6
b_0,0.38,0.37,0.47,0.21,,0.24,1.39,1.47,2.02,2.08,21.46,1.81,3.22,3.44,1.55,3.57
f_0,0.37,,0.43,0.41,0.34,0.42,1.0,1.58,1.52,2.15,1.89,19.73,2.99,,6.17,3.39
h_0,0.45,0.98,0.36,0.48,0.44,0.7,,2.96,2.74,2.33,2.83,3.92,,3.74,2.82,6.43
a_0,0.41,0.2,0.29,0.44,0.35,,1.23,1.48,1.56,2.26,2.67,2.02,3.15,30.29,,3.53
e_0,,0.36,0.42,0.39,0.39,,2.06,1.05,1.74,2.16,2.85,,3.34,2.78,34.14,
g_0,0.47,0.45,0.76,0.42,0.52,0.4,2.44,,2.84,2.58,3.07,4.92,5.98,2.53,3.72,
