,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.06,2.61,1.95,2.09,1.96,1.56,0.61,0.83,0.6,0.54,0.56,0.97,0.39,0.47,0.48,0.4
e_1,1.4,1.06,2.57,2.29,2.2,2.25,0.82,0.89,0.94,0.74,0.77,0.78,0.51,0.69,0.56,0.95
d_1,2.52,2.64,1.06,2.56,2.47,1.81,0.93,0.62,1.08,0.7,0.69,0.57,0.55,0.59,0.34,0.57
c_1,2.52,2.24,2.75,1.06,2.53,2.26,0.97,0.84,0.45,0.94,0.63,0.69,0.56,0.73,0.52,0.58
b_1,3.16,2.5,2.83,1.72,1.07,2.85,1.28,1.08,0.92,1.03,1.32,0.76,0.67,0.68,0.7,0.78
a_1,4.49,3.24,3.69,3.6,1.96,1.07,1.65,1.43,1.13,1.22,1.2,1.06,1.0,1.64,0.76,0.91
h_1,7.22,6.31,5.32,5.37,5.07,4.72,1.35,2.29,1.91,1.71,1.67,1.52,1.83,1.37,1.71,1.57
g_1,6.62,7.39,7.23,7.53,6.68,5.48,2.09,1.36,2.49,2.02,1.99,2.29,1.31,1.82,1.87,1.73
d_0,7.85,4.15,10.38,9.0,6.58,6.22,2.73,2.52,1.52,1.89,2.08,1.78,1.74,2.01,1.87,1.94
c_0,10.26,7.73,4.85,10.74,7.01,5.82,2.54,2.81,2.55,1.54,2.64,1.65,1.97,2.28,1.72,2.02
b_0,9.4,6.69,6.12,10.93,11.81,5.97,3.02,2.79,2.16,1.32,1.52,1.95,1.71,2.27,1.53,1.88
f_0,12.28,7.79,8.53,8.19,8.91,7.45,3.53,2.07,2.81,3.04,2.69,1.55,2.07,2.09,1.34,2.75
h_0,10.58,10.68,8.64,9.33,7.83,6.31,4.78,3.77,3.06,2.31,2.75,2.53,2.68,2.32,2.27,1.87
a_0,12.44,10.52,10.42,9.2,11.89,11.29,4.05,3.45,3.56,2.43,2.0,2.99,2.32,1.6,2.23,2.2
g_0,12.13,11.33,12.44,12.88,10.57,10.19,2.91,5.25,3.8,2.92,3.23,3.19,2.04,2.88,2.92,2.69
e_0,17.76,14.26,10.6,12.36,11.34,11.27,4.28,4.62,3.05,2.68,3.32,1.84,3.01,2.7,2.57,1.64
