,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,1.12,2.55,4.55,4.85,4.77,4.85,1.49,0.94,1.37,0.89,1.03,0.93,0.73,0.82,0.67,1.82
f_1,4.2,1.12,4.89,3.71,5.04,4.53,0.99,1.05,1.38,0.94,1.3,0.82,0.45,0.86,0.78,0.87
c_1,3.62,5.27,1.12,6.45,5.18,4.71,1.31,0.54,1.29,1.91,0.9,1.04,0.83,0.99,0.86,0.82
d_1,6.33,5.44,4.94,1.11,4.96,3.79,1.19,2.49,0.89,0.94,0.93,1.14,0.69,1.05,0.45,0.86
b_1,5.99,6.13,3.11,6.02,1.13,5.12,1.79,1.26,1.9,1.33,1.2,2.35,0.8,1.24,0.73,1.0
a_1,8.81,7.93,7.89,8.4,3.43,1.14,2.4,2.12,2.16,2.01,1.86,3.02,1.25,3.42,1.56,2.37
h_1,15.18,15.83,15.82,13.11,13.2,13.94,1.75,3.02,3.88,2.5,2.48,2.65,2.84,2.58,2.03,2.32
d_0,8.81,20.13,18.03,32.5,21.21,17.42,5.84,2.2,5.79,3.71,3.39,2.99,2.88,3.51,2.85,3.43
g_1,18.66,22.04,20.96,18.1,18.01,17.0,3.99,4.7,1.79,3.93,3.58,3.88,2.16,4.27,3.94,3.5
c_0,20.44,19.56,44.83,10.27,22.03,19.91,6.3,7.8,5.84,2.17,3.77,3.77,2.58,4.53,2.68,3.7
f_0,21.52,45.22,22.57,20.95,20.17,19.91,6.4,4.89,3.57,4.25,2.37,4.55,3.49,4.18,1.99,5.06
b_0,25.05,24.35,31.34,18.74,37.19,22.98,6.96,5.16,7.64,2.37,4.23,2.11,3.04,4.22,2.85,4.27
h_0,28.58,32.54,25.02,25.28,27.54,29.45,12.99,6.98,8.51,6.28,5.62,6.11,6.36,5.78,4.39,4.98
a_0,29.98,34.82,32.94,33.88,38.7,52.28,8.79,6.11,8.96,6.22,5.62,3.22,4.53,2.44,5.01,5.31
g_0,35.86,37.04,33.98,29.77,40.34,36.05,8.06,8.43,16.0,7.04,6.85,7.49,3.7,8.0,6.5,6.33
e_0,51.52,50.46,40.86,37.47,38.7,29.87,9.46,7.88,11.2,8.11,3.82,7.39,5.68,6.96,4.23,2.65
