,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.1,2.68,2.7,2.94,2.72,2.55,0.59,0.57,0.8,0.58,0.97,0.58,0.32,0.68,0.47,0.58
e_1,1.74,1.1,3.73,2.79,3.09,3.04,0.85,0.69,0.91,0.56,0.8,0.6,0.48,0.87,0.72,0.45
c_1,3.52,2.67,1.11,4.4,3.26,2.59,0.81,0.44,0.98,0.97,0.68,0.66,0.5,0.62,0.62,0.48
d_1,3.65,3.9,3.44,1.1,3.48,2.93,0.99,1.22,0.58,0.68,0.65,0.73,0.52,0.58,0.61,0.31
b_1,4.69,4.38,2.19,4.71,1.12,3.95,1.29,0.87,1.42,1.15,0.81,1.41,0.65,0.8,0.97,0.58
a_1,6.66,5.63,5.06,5.6,2.65,1.14,1.88,1.26,1.85,1.44,1.03,1.46,0.81,1.09,1.98,0.8
h_1,13.31,11.56,12.81,11.35,12.44,11.77,1.64,2.37,3.31,2.29,2.35,2.57,2.12,2.15,2.51,1.7
d_0,13.69,8.71,16.97,21.41,12.56,11.84,4.68,2.02,5.05,3.25,3.16,3.72,2.17,2.81,2.99,2.93
g_1,16.27,14.19,14.87,12.83,15.3,15.81,3.12,3.45,1.68,2.4,3.06,2.69,1.71,2.72,3.02,2.45
c_0,17.38,15.29,28.18,8.34,19.16,17.3,4.85,4.06,4.62,1.99,2.95,3.91,2.52,3.11,3.34,2.09
f_0,26.62,15.88,17.33,14.14,16.34,15.81,5.07,3.32,2.94,2.97,1.95,3.39,2.42,2.92,3.4,1.43
b_0,18.57,17.35,28.43,12.93,26.63,16.32,4.94,3.73,4.26,1.77,3.33,1.97,2.32,2.95,3.21,2.18
h_0,22.01,20.36,20.91,20.44,19.44,18.92,8.54,4.54,5.53,4.26,3.99,4.21,3.76,3.38,3.58,2.74
e_0,40.07,31.49,28.18,23.12,27.45,25.62,8.64,5.95,6.33,4.45,2.64,4.89,3.61,2.27,4.75,3.04
a_0,30.95,26.2,30.29,26.4,29.92,27.73,8.93,6.11,6.79,4.12,5.79,3.07,3.8,4.46,2.28,3.73
g_0,32.26,31.75,27.47,26.18,23.99,27.73,6.05,5.27,9.45,5.58,4.95,5.27,3.13,4.09,4.75,4.4
