,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.48,0.64,0.59,0.87,0.63,0.54,0.8,1.39,0.73,0.68,0.74,0.72,0.85,0.6,0.7,0.81
f_1,1.06,1.51,0.63,0.65,0.65,0.47,0.66,0.71,0.63,0.7,0.79,0.39,0.74,0.51,0.67,0.64
d_1,0.73,0.76,1.56,0.59,0.61,0.48,0.8,0.6,0.68,1.29,0.88,0.85,0.86,0.78,0.62,0.66
c_1,0.58,0.75,0.71,1.56,1.07,0.56,0.8,0.56,0.75,0.4,0.72,0.77,0.83,0.55,0.58,0.75
b_1,0.77,0.68,0.7,0.55,1.6,1.02,0.8,0.83,0.75,0.68,0.48,0.86,1.04,0.61,0.58,0.83
a_1,0.71,0.96,0.83,0.72,0.52,1.77,0.95,0.97,0.73,1.14,0.92,0.82,0.94,0.79,0.41,0.98
h_1,0.91,1.24,0.91,0.91,0.86,0.62,1.73,1.05,1.2,0.96,0.95,0.83,0.86,0.85,0.78,1.11
d_0,0.82,0.96,0.61,1.66,0.9,0.73,1.02,1.61,0.94,0.98,0.96,1.15,1.1,0.83,0.9,1.1
g_1,0.92,0.82,1.36,0.75,0.81,0.79,0.88,1.0,1.82,1.06,0.99,1.5,1.05,1.02,1.04,0.74
c_0,1.13,1.1,0.97,0.74,0.85,0.58,1.18,0.96,0.98,1.64,1.76,1.05,1.17,1.04,1.01,1.0
b_0,1.22,1.01,1.05,0.91,0.45,0.64,1.06,1.25,1.03,1.0,1.67,1.09,1.26,1.08,1.73,1.03
f_0,1.06,0.93,1.04,0.93,0.81,0.75,1.35,1.16,1.04,1.26,1.15,1.68,1.27,1.63,0.76,1.08
h_0,1.07,1.31,1.1,1.01,0.72,0.75,0.79,1.17,1.31,1.18,1.2,1.08,0.91,1.05,0.85,1.47
e_0,0.71,1.47,0.96,1.13,0.85,0.71,1.3,1.28,0.96,1.34,1.14,1.18,1.19,1.8,0.91,1.2
a_0,1.08,1.18,1.18,1.13,0.78,0.49,1.2,1.17,1.24,1.14,1.01,1.16,1.43,1.24,1.77,1.16
g_0,0.98,0.99,1.46,1.19,0.99,0.7,1.13,1.0,0.94,1.19,1.1,1.61,1.07,1.07,0.96,0.93
