,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,11.89,1.84,0.63,0.65,0.54,0.54,0.83,0.78,0.87,0.9,0.93,0.52,0.92,0.89,0.65,0.76
e_1,0.79,11.23,0.52,0.95,0.68,0.73,0.96,0.9,0.96,2.57,0.9,0.89,0.99,1.01,0.72,0.95
d_1,0.75,0.65,12.86,0.49,0.62,0.7,1.07,2.91,0.97,0.63,1.48,1.35,1.11,1.06,1.23,1.05
c_1,0.58,0.61,0.7,12.4,1.88,0.68,0.76,0.42,0.81,0.72,0.59,1.04,0.91,0.88,0.89,0.92
b_1,0.66,0.51,0.91,0.68,11.62,1.76,1.07,0.75,0.87,0.72,0.64,0.86,0.97,0.67,1.07,1.11
a_1,0.76,0.56,0.78,0.91,0.6,19.13,1.21,0.95,1.07,0.9,1.0,1.03,1.05,0.7,0.93,1.05
h_1,1.18,0.76,0.96,0.64,0.71,0.65,3.09,0.94,1.49,1.01,1.17,1.14,0.73,0.98,1.09,1.68
c_0,0.92,0.81,0.99,0.68,0.54,0.64,1.0,2.63,0.98,0.91,3.63,1.11,1.2,1.63,1.25,1.01
g_1,0.67,0.64,1.75,0.74,0.66,0.75,0.96,1.27,3.86,0.88,1.0,2.26,1.15,1.13,1.27,0.84
d_0,0.94,0.74,0.4,2.44,0.73,0.73,0.76,0.67,0.92,1.85,0.98,0.95,1.03,1.31,0.89,0.92
b_0,0.99,0.76,0.96,0.87,0.6,0.42,0.78,1.25,1.27,1.28,2.44,1.07,1.41,3.48,1.36,1.2
f_0,0.54,0.6,0.94,0.94,1.04,0.84,1.05,1.05,1.14,0.92,1.3,2.48,1.26,1.38,2.95,0.95
h_0,1.25,0.67,0.9,0.86,0.7,0.72,0.68,1.07,1.41,1.0,1.2,0.98,0.79,1.06,1.04,1.59
a_0,0.98,0.7,0.8,0.89,1.0,0.44,1.41,1.09,1.08,1.14,1.25,1.28,1.16,2.99,1.07,1.17
e_0,0.81,0.54,0.78,0.9,1.03,0.77,1.23,0.97,1.11,1.09,1.14,1.08,1.18,1.3,3.39,1.45
g_0,0.59,0.57,1.71,0.82,0.79,0.65,1.07,1.1,0.87,0.87,0.96,2.09,0.88,0.99,1.32,0.93
