,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.07,10.2,8.7,8.96,8.83,7.56,2.95,3.4,2.78,2.08,,2.87,1.86,2.22,3.07,1.8
e_1,7.1,1.07,9.9,9.14,8.37,8.23,3.2,3.03,3.14,2.63,2.83,2.69,2.27,,2.02,2.06
c_1,10.8,8.58,1.07,8.94,9.54,7.57,3.45,4.22,1.83,,2.46,2.31,2.46,3.03,2.3,2.45
d_1,10.5,10.42,11.76,1.07,10.85,,3.75,2.51,,3.54,2.21,2.72,2.12,2.59,1.91,1.42
b_1,10.35,12.16,6.92,9.54,1.07,12.34,4.56,3.69,3.42,4.58,3.45,,2.21,2.43,3.52,2.02
a_1,13.9,12.83,18.05,,8.17,1.07,5.23,5.3,4.46,,4.94,4.7,3.61,,,
h_1,12.49,15.07,13.41,13.33,11.38,11.82,1.41,5.46,3.46,4.68,5.13,3.89,,3.83,3.71,3.23
g_1,14.77,24.37,13.82,19.09,17.17,15.69,4.49,1.41,6.03,4.48,8.12,4.72,2.21,4.06,4.48,
d_0,11.76,10.51,18.26,,12.29,12.46,5.53,4.59,1.79,4.33,3.72,4.13,3.41,3.12,4.6,3.26
c_0,17.07,16.42,,8.48,13.85,,5.56,6.34,4.64,1.73,4.33,5.37,3.59,3.08,4.51,3.41
f_0,,14.58,17.66,19.91,15.23,11.66,5.05,2.98,5.1,4.34,1.71,4.85,3.95,5.54,,2.62
b_0,17.39,16.99,26.81,17.65,,13.65,7.58,4.98,5.04,2.87,5.52,1.74,5.35,,5.64,3.35
h_0,17.71,15.98,12.44,13.24,17.23,14.91,,9.32,4.4,4.28,3.91,2.99,,6.79,3.79,3.78
e_0,28.14,,18.7,26.53,23.66,,7.37,8.73,8.58,7.03,3.44,,3.95,1.75,5.66,4.14
a_0,25.27,25.91,26.86,28.12,22.85,,9.76,9.45,4.55,7.97,,3.56,3.9,4.69,1.74,5.5
g_0,24.42,20.37,15.3,23.7,25.15,,6.15,,6.02,5.24,5.73,6.6,3.28,4.21,3.67,
