,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,2.42,1.59,1.54,2.08,1.7,1.6,3.25,3.51,3.64,5.33,3.73,3.83,3.84,4.74,3.32,4.6
f_1,2.33,2.51,1.53,1.79,1.53,1.59,2.95,2.89,3.29,3.9,2.73,3.5,3.56,3.97,2.88,4.1
d_1,1.64,1.76,2.53,1.42,1.64,1.79,3.41,3.09,5.3,2.96,3.82,4.4,3.73,4.29,4.12,4.59
c_1,1.41,1.57,1.77,2.69,2.59,1.72,3.31,3.13,2.5,2.97,3.58,2.69,3.58,4.38,3.93,4.2
b_1,1.57,1.75,1.68,1.5,2.81,2.72,3.15,3.27,3.62,3.23,3.86,2.89,3.0,4.62,3.55,4.49
a_1,1.8,1.76,1.71,1.67,1.36,3.3,3.57,3.58,3.68,4.18,3.81,4.22,3.35,5.32,4.47,4.96
h_1,1.63,2.09,1.67,1.75,1.73,1.66,4.26,4.01,3.37,3.48,3.47,3.93,3.62,4.22,3.79,5.36
g_1,1.61,1.74,2.18,1.75,1.79,1.55,2.92,4.49,3.64,3.28,4.69,3.36,3.53,4.59,3.95,4.35
c_0,1.74,1.91,1.68,1.76,1.56,1.73,3.55,3.45,4.57,4.03,3.95,6.13,4.64,5.06,4.56,5.24
d_0,1.47,1.8,1.55,2.63,1.94,1.49,3.29,3.38,3.04,4.51,3.47,3.49,3.93,5.04,4.27,4.59
f_0,1.5,1.71,1.8,1.92,1.64,1.72,3.35,2.98,3.92,4.27,4.99,4.02,4.23,4.6,6.58,4.95
b_0,1.7,2.03,1.7,2.07,1.6,1.39,3.33,3.47,3.29,4.1,3.97,4.91,6.2,5.05,3.88,5.39
a_0,1.71,1.89,1.78,1.8,1.82,1.51,3.71,3.63,3.57,3.67,4.0,3.27,5.46,4.89,3.31,4.92
h_0,1.74,2.22,1.83,1.68,1.61,1.65,2.83,3.77,3.55,3.45,3.61,3.39,3.73,4.3,3.41,5.63
e_0,1.65,2.1,1.72,1.69,1.9,1.49,3.59,3.2,3.77,3.75,3.6,4.21,4.45,4.73,5.49,4.75
g_0,1.66,1.63,2.23,1.79,1.64,1.53,3.01,2.88,3.64,3.42,5.01,3.83,4.05,4.21,4.35,4.4
