,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.82,1.17,0.99,0.95,1.02,1.02,1.04,1.4,0.99,0.98,1.15,1.03,1.03,0.98,1.03
f_1,1.24,1.0,1.02,1.0,0.92,0.87,0.75,1.02,0.96,0.99,0.95,0.85,0.9,0.86,0.8,1.08
c_1,0.82,0.96,1.0,1.03,1.37,0.98,1.1,1.02,0.74,0.84,0.81,1.05,0.99,0.99,0.96,1.02
d_1,1.01,1.03,0.97,1.0,1.02,0.95,1.06,0.86,1.11,1.07,1.25,1.0,0.97,0.93,1.02,0.78
b_1,1.04,1.08,0.76,0.98,1.0,1.43,1.01,1.03,0.88,0.97,1.1,0.9,0.82,1.11,1.0,1.11
a_1,0.98,1.12,1.02,1.04,0.71,1.0,1.3,1.26,1.04,1.21,1.0,1.03,1.16,1.17,1.23,1.07
h_1,0.97,1.38,0.94,0.96,0.98,0.76,1.0,1.11,0.94,0.94,0.97,0.9,1.0,1.04,1.04,1.23
g_1,0.96,0.96,0.98,1.18,0.94,0.81,0.91,1.0,0.92,1.0,0.99,1.18,0.99,0.84,1.1,1.03
d_0,0.74,1.0,1.37,0.96,1.09,0.98,1.03,1.07,1.0,1.06,0.85,1.05,1.03,1.1,1.06,0.99
b_0,0.94,1.02,1.23,0.94,1.04,0.85,1.07,0.96,0.98,1.0,0.81,1.06,1.46,1.05,1.02,0.98
c_0,1.07,1.08,1.2,0.78,0.9,1.05,1.05,0.95,1.25,1.28,1.0,1.03,1.11,1.12,1.08,1.03
f_0,0.89,1.15,0.94,0.98,1.11,0.98,1.05,0.82,0.96,0.96,0.97,0.99,1.09,1.07,1.42,0.81
a_0,0.94,1.14,0.98,1.02,1.27,0.82,0.97,1.0,1.03,0.71,0.86,0.92,1.0,1.11,0.88,1.04
h_0,0.97,1.15,0.99,1.04,0.94,0.85,0.95,1.17,0.89,0.9,0.89,0.93,0.91,1.0,0.84,1.12
e_0,0.98,1.31,1.02,0.94,1.0,0.83,0.91,0.83,0.96,1.08,0.94,0.71,1.22,1.18,1.0,1.07
g_0,0.97,0.91,0.96,1.25,0.95,0.91,0.84,0.95,1.03,1.03,0.96,1.18,0.99,0.86,0.95,1.0
