,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.05,1.2,1.68,1.92,1.65,1.45,0.67,0.6,0.6,0.48,0.56,0.55,0.41,0.63,0.44,0.47
f_1,1.9,1.05,1.54,1.58,1.6,1.35,0.48,0.64,0.5,0.51,0.59,0.51,0.33,0.37,0.41,0.38
d_1,2.1,1.97,1.05,1.88,1.59,1.32,0.71,0.46,0.71,0.54,0.53,0.49,0.38,0.45,0.29,0.4
c_1,1.48,2.03,2.06,1.05,2.17,1.68,0.7,0.69,0.36,0.65,0.47,0.5,0.44,0.43,0.39,0.48
b_1,2.15,2.47,2.39,1.3,1.06,2.19,0.97,0.97,0.63,0.81,0.61,0.75,0.55,0.62,0.5,0.53
a_1,2.96,2.9,2.85,2.44,1.48,1.07,1.03,0.93,0.83,0.8,0.84,0.94,0.61,0.63,0.57,0.93
h_1,4.95,5.35,4.64,4.52,3.89,3.89,1.27,1.87,1.52,1.49,1.37,1.4,1.41,1.19,1.06,1.08
g_1,5.75,5.9,6.18,5.77,5.0,4.47,1.69,1.29,1.76,1.71,1.94,1.64,1.03,1.4,1.56,1.53
d_0,4.03,6.14,7.25,6.8,5.95,5.36,2.31,2.06,1.43,1.57,1.69,1.75,1.26,1.93,1.45,1.55
c_0,6.33,6.19,4.07,8.41,5.26,4.84,2.31,1.98,2.51,1.39,1.74,2.0,1.37,1.54,1.2,1.95
f_0,5.65,8.56,6.08,6.77,6.06,5.4,2.64,1.61,1.91,1.72,1.41,1.91,1.45,2.01,0.99,1.54
b_0,6.23,6.44,5.71,8.75,7.89,5.45,2.43,2.26,2.21,1.22,1.78,1.38,1.47,1.75,1.41,1.97
h_0,7.47,8.5,7.19,7.65,7.27,5.84,3.37,3.39,2.31,2.41,2.21,2.22,2.06,1.91,1.85,1.95
e_0,9.61,12.04,7.73,9.14,6.54,7.62,3.04,2.94,2.44,2.18,1.53,2.22,2.14,1.49,1.46,2.12
g_0,7.89,10.05,9.5,9.27,8.53,7.56,3.09,3.49,2.56,2.81,2.76,2.59,1.59,2.42,2.03,2.2
a_0,8.8,9.19,9.46,9.24,10.06,10.53,3.82,3.13,2.97,2.15,2.93,1.53,1.99,2.8,2.01,1.51
