,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,1.07,3.73,3.05,3.21,2.86,2.33,0.9,1.15,1.11,0.91,1.85,0.99,0.53,0.74,0.69,0.78
e_1,2.18,1.07,3.42,3.24,3.01,2.98,1.32,1.28,1.2,0.94,1.17,1.11,0.79,0.91,1.97,0.67
d_1,3.48,3.6,1.07,3.28,2.98,2.57,1.27,0.98,2.55,1.05,0.85,0.8,0.75,0.77,0.93,0.46
c_1,3.88,3.69,3.9,1.07,4.22,3.17,1.33,1.45,0.64,1.81,1.03,0.91,0.82,0.95,0.87,0.8
b_1,4.96,3.87,4.73,2.39,1.07,4.17,1.72,1.59,1.24,1.23,1.09,2.74,1.06,0.92,1.1,0.8
a_1,5.78,6.78,6.15,6.16,3.05,1.07,2.01,1.58,1.32,2.06,1.83,1.86,1.36,2.99,1.48,1.13
h_1,8.01,8.41,7.46,7.96,5.72,5.79,1.38,2.92,2.28,1.93,1.79,2.16,2.57,2.16,1.65,1.56
g_1,9.0,7.55,8.27,7.67,7.86,7.69,2.57,1.39,2.4,2.57,2.48,2.29,1.39,3.06,2.27,2.26
d_0,10.49,5.22,12.66,11.24,6.6,11.06,3.17,3.88,1.64,2.85,2.58,2.34,1.78,2.54,1.69,2.75
c_0,9.83,8.12,5.71,33.05,11.84,6.92,4.33,3.6,3.01,1.63,2.21,3.53,2.2,3.04,2.52,1.97
f_0,16.27,8.62,9.17,9.24,11.02,9.02,4.32,2.92,2.65,3.1,1.6,2.55,2.78,2.4,2.93,1.89
b_0,9.12,8.9,9.92,13.45,19.61,8.38,4.0,3.66,2.95,1.61,3.23,1.6,2.21,3.83,2.44,1.97
h_0,16.09,11.53,11.48,13.91,10.89,9.12,7.62,5.46,4.51,3.58,2.97,3.29,4.28,3.15,2.81,3.55
a_0,12.82,12.22,12.51,12.59,21.5,,5.01,3.58,3.52,2.77,4.34,2.04,2.85,1.67,3.58,3.16
e_0,16.01,19.96,10.95,11.9,11.99,11.01,5.23,4.36,5.07,3.41,2.33,3.94,3.8,2.88,1.68,2.37
g_0,16.77,15.47,17.03,15.64,17.2,14.09,5.26,10.37,4.38,4.03,3.53,3.95,2.54,3.49,5.15,
