,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.91,0.54,0.29,0.28,0.25,0.15,0.25,0.23,0.22,0.25,0.24,0.13,0.28,0.16,0.11,0.19
e_1,0.37,0.91,0.25,0.35,0.28,0.18,0.29,0.28,0.23,0.51,0.24,0.24,0.27,0.19,0.11,0.23
d_1,0.34,0.32,0.91,0.22,0.28,0.18,0.32,0.54,0.22,0.19,0.32,0.32,0.3,0.2,0.2,0.24
c_1,0.3,0.29,0.3,0.9,0.51,0.16,0.24,0.14,0.2,0.23,0.18,0.26,0.25,0.18,0.16,0.22
b_1,0.31,0.27,0.35,0.29,0.9,0.36,0.31,0.24,0.2,0.24,0.17,0.23,0.27,0.13,0.17,0.26
a_1,0.35,0.28,0.33,0.37,0.22,0.89,0.32,0.32,0.24,0.26,0.26,0.25,0.29,0.13,0.15,0.24
h_1,0.47,0.33,0.39,0.29,0.3,0.18,0.61,0.28,0.3,0.28,0.27,0.27,0.22,0.17,0.16,0.34
c_0,0.43,0.36,0.38,0.29,0.24,0.19,0.31,0.55,0.22,0.27,0.54,0.27,0.32,0.26,0.21,0.23
g_1,0.32,0.31,0.51,0.31,0.29,0.21,0.29,0.36,0.59,0.25,0.24,0.42,0.32,0.22,0.2,0.18
d_0,0.41,0.34,0.2,0.62,0.28,0.2,0.24,0.24,0.21,0.46,0.25,0.24,0.29,0.22,0.15,0.22
b_0,0.42,0.36,0.38,0.35,0.23,0.12,0.23,0.34,0.3,0.34,0.5,0.26,0.37,0.43,0.2,0.26
f_0,0.29,0.3,0.37,0.39,0.38,0.21,0.31,0.31,0.26,0.29,0.3,0.48,0.34,0.24,0.4,0.23
h_0,0.48,0.32,0.35,0.35,0.29,0.21,0.23,0.31,0.32,0.3,0.29,0.23,0.23,0.2,0.17,0.34
a_0,0.44,0.34,0.35,0.36,0.34,0.12,0.38,0.33,0.24,0.33,0.27,0.29,0.35,0.45,0.19,0.27
e_0,0.37,0.26,0.34,0.37,0.39,0.19,0.35,0.31,0.28,0.29,0.28,0.25,0.32,0.22,0.45,0.3
g_0,0.34,0.31,0.55,0.35,0.29,0.18,0.3,0.32,0.19,0.24,0.23,0.43,0.25,0.18,0.2,0.2
