,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.07,4.17,3.59,2.82,2.87,2.64,1.33,0.82,1.12,2.12,0.95,0.85,0.67,0.92,0.77,0.49
e_1,3.29,1.07,2.19,3.2,3.4,2.85,1.51,1.31,0.98,1.29,0.89,1.17,0.78,1.01,2.05,0.87
f_1,3.01,3.9,1.07,3.51,3.08,2.62,0.99,1.86,0.95,0.89,0.93,1.95,0.58,0.79,0.81,0.69
c_1,4.7,3.54,3.43,1.07,4.65,3.34,1.55,1.14,1.76,0.69,1.18,1.15,0.83,0.81,0.75,0.96
b_1,4.73,4.15,4.24,2.48,1.07,5.71,1.5,1.46,1.4,1.1,3.72,1.15,0.72,1.08,1.32,1.02
a_1,7.24,4.83,6.25,5.36,2.69,1.07,1.87,2.09,1.6,1.75,1.99,1.41,2.03,3.0,1.52,1.09
h_1,6.34,7.12,9.28,6.29,6.34,6.5,1.38,3.41,2.31,2.16,2.02,1.74,2.94,1.58,1.68,1.69
g_1,9.03,8.49,8.26,9.82,8.24,6.22,2.54,1.37,2.44,2.21,2.7,2.24,1.71,2.54,2.59,3.03
c_0,5.25,9.15,8.8,22.32,8.4,7.73,3.23,3.28,1.65,3.04,2.54,2.41,2.04,1.85,2.4,1.94
d_0,16.09,5.14,10.75,10.54,9.27,7.34,3.35,4.62,2.55,1.65,2.72,2.81,2.25,2.6,2.33,2.28
b_0,7.93,9.12,9.41,11.57,12.47,7.4,3.54,3.4,1.67,3.22,1.59,2.63,2.78,3.07,2.54,2.58
f_0,8.88,8.31,16.13,9.34,10.27,7.69,3.69,2.97,3.07,2.78,3.23,1.65,2.99,2.68,3.37,1.57
h_0,12.53,10.7,13.04,12.28,15.34,7.11,8.01,4.46,3.09,3.4,3.19,2.92,4.88,2.8,2.96,3.02
a_0,10.82,9.78,16.61,18.57,15.6,12.93,5.98,3.73,3.4,4.16,1.97,3.6,2.7,1.69,3.16,2.67
e_0,12.17,19.81,15.71,17.89,9.5,9.45,4.12,4.01,3.55,3.35,4.0,1.96,3.55,3.14,1.62,3.07
g_0,14.08,12.19,17.88,11.85,12.24,9.97,4.23,6.45,3.79,4.0,3.11,4.66,2.55,3.36,3.3,4.58
