,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.07,1.04,0.84,0.87,0.73,0.45,0.38,0.59,0.48,0.46,0.39,0.35,0.33,0.33,0.28
f_1,0.96,1.0,1.25,0.96,0.81,0.78,0.44,0.45,0.4,0.4,0.44,0.32,0.3,0.33,0.28,0.3
e_1,0.93,0.79,1.0,1.17,0.91,0.72,0.53,0.51,0.45,0.42,0.58,0.45,0.4,0.35,0.4,0.35
c_1,1.21,1.07,0.84,1.0,1.35,0.77,0.53,0.51,0.4,0.36,0.31,0.41,0.36,0.37,0.33,0.31
b_1,1.15,1.24,1.08,0.75,1.0,1.33,0.6,0.51,0.54,0.47,0.38,0.42,0.43,0.37,0.37,0.35
a_1,1.34,1.3,1.38,1.29,0.75,1.0,0.71,0.64,0.58,0.68,0.63,0.49,0.55,0.56,0.5,0.42
h_1,2.11,2.29,1.86,1.85,1.77,1.45,1.0,1.08,0.84,0.79,0.73,0.79,0.63,0.69,0.67,0.74
g_1,2.59,2.35,1.9,1.99,1.91,1.55,0.9,1.0,1.0,0.86,0.8,1.01,0.72,0.72,0.74,0.67
c_0,1.74,2.5,2.2,2.44,1.76,1.72,1.13,0.94,1.0,1.35,1.03,0.96,0.88,0.96,0.79,0.78
b_0,2.1,2.53,2.43,2.75,2.06,1.4,1.24,1.14,0.76,1.0,1.08,0.92,0.91,1.05,0.82,0.77
d_0,2.02,2.18,1.77,3.3,2.7,1.61,1.38,1.27,0.92,0.88,1.0,1.0,0.85,0.81,0.95,0.79
f_0,2.63,2.87,2.25,2.57,2.31,1.99,1.27,1.0,1.08,1.14,1.02,1.0,0.95,0.85,1.35,0.67
h_0,2.88,3.26,2.51,2.83,2.31,1.79,1.59,1.43,1.11,1.13,1.15,1.08,1.0,0.91,0.93,1.06
a_0,3.01,2.95,2.83,2.88,2.58,1.92,1.44,1.37,1.09,0.94,1.22,1.25,1.14,1.0,0.9,1.11
e_0,2.88,3.63,2.58,3.15,2.81,2.01,1.41,1.28,1.22,1.25,1.04,0.76,1.05,1.1,1.0,1.0
g_0,3.62,3.24,2.93,3.19,2.68,2.36,1.33,1.46,1.31,1.34,1.23,1.48,0.96,0.95,1.0,1.0
