,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,0.95,0.43,0.36,0.53,0.4,0.27,0.3,0.31,0.45,0.25,0.31,0.26,0.28,0.17,0.21,0.23
d_1,0.5,0.95,0.52,0.34,0.37,0.31,0.3,0.28,0.2,0.43,0.27,0.31,0.27,0.21,0.21,0.18
f_1,0.78,0.45,0.95,0.43,0.31,0.26,0.27,0.25,0.3,0.27,0.12,0.25,0.19,0.14,0.18,0.21
c_1,0.44,0.52,0.47,0.94,0.69,0.3,0.29,0.29,0.26,0.15,0.26,0.21,0.28,0.17,0.17,0.18
b_1,0.45,0.51,0.57,0.36,0.94,0.61,0.33,0.32,0.31,0.32,0.27,0.2,0.3,0.23,0.13,0.23
a_1,0.55,0.58,0.63,0.55,0.33,0.94,0.37,0.34,0.31,0.35,0.29,0.34,0.3,0.25,0.16,0.25
h_1,0.73,0.79,0.91,0.67,0.64,0.45,0.76,0.58,0.42,0.44,0.39,0.37,0.34,0.35,0.3,0.43
g_1,0.69,1.04,0.69,0.67,0.65,0.48,0.41,0.75,0.45,0.45,0.59,0.43,0.36,0.35,0.28,0.28
d_0,0.7,0.66,0.7,1.17,0.69,0.56,0.53,0.48,0.67,0.39,0.43,0.32,0.43,0.35,0.26,0.4
c_0,0.87,0.8,0.89,0.66,0.54,0.5,0.52,0.52,0.49,0.67,0.46,0.72,0.49,0.39,0.42,0.36
f_0,0.71,0.97,0.73,0.83,0.7,0.55,0.53,0.47,0.57,0.47,0.68,0.43,0.51,0.64,0.31,0.41
b_0,0.83,0.83,0.91,0.8,0.42,0.48,0.57,0.48,0.58,0.46,0.48,0.67,0.51,0.36,0.59,0.39
h_0,0.75,0.93,1.26,0.77,0.69,0.58,0.41,0.74,0.56,0.51,0.47,0.51,0.36,0.4,0.31,0.47
e_0,0.59,1.02,1.04,0.9,0.8,0.61,0.57,0.64,0.64,0.53,0.42,0.52,0.56,0.64,0.39,0.45
a_0,0.86,0.95,0.99,1.04,0.86,0.29,0.65,0.56,0.68,0.47,0.57,0.49,0.6,0.4,0.64,0.45
g_0,0.81,1.35,0.84,0.93,0.75,0.56,0.6,0.5,0.57,0.53,0.69,0.5,0.54,0.46,0.35,0.34
