,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.06,1.47,1.94,2.3,2.51,1.78,0.88,0.79,0.67,0.92,0.65,0.81,0.58,0.62,1.27,0.52
f_1,2.46,1.06,2.07,2.48,1.85,1.6,0.67,0.65,0.63,0.91,0.67,0.96,0.38,0.48,0.54,0.63
d_1,3.15,2.67,1.06,2.18,2.31,2.02,0.81,0.99,0.73,0.55,0.64,0.62,0.56,0.62,0.51,0.36
c_1,2.17,2.44,3.43,1.06,2.62,2.1,1.0,0.47,1.1,0.91,0.77,0.65,0.56,0.55,0.68,0.54
b_1,2.63,3.65,2.74,1.63,1.07,3.45,1.13,0.91,1.09,1.31,1.69,0.92,0.67,0.97,0.69,0.55
a_1,3.83,4.07,3.42,3.74,1.93,1.07,1.71,1.19,0.92,1.11,1.0,0.91,0.78,1.99,0.88,1.01
h_1,6.39,5.93,5.81,6.36,5.54,4.43,1.33,2.09,1.6,2.27,1.75,1.66,1.52,1.34,1.17,1.38
d_0,4.5,7.01,11.58,7.32,6.62,5.43,2.65,1.56,2.32,2.88,1.87,2.03,1.54,1.78,1.86,1.73
c_0,7.78,7.33,4.42,13.3,6.07,7.19,2.77,2.56,1.54,2.56,2.29,1.98,1.46,1.88,1.81,1.44
g_1,6.59,7.51,7.92,7.8,5.37,8.34,2.22,2.18,2.02,1.34,2.15,2.0,1.19,1.49,1.68,1.99
b_0,7.08,7.59,7.43,8.32,8.67,6.45,2.69,2.52,1.5,2.9,1.55,2.08,1.72,2.44,1.75,1.66
f_0,7.17,12.31,7.68,8.8,7.05,7.75,3.03,2.41,2.42,2.08,2.07,1.51,1.8,1.71,2.07,1.17
h_0,8.91,12.26,9.5,10.65,9.39,8.19,5.38,2.89,3.08,4.17,2.74,2.54,3.01,2.28,2.31,2.36
a_0,9.8,12.01,10.61,13.39,12.47,13.38,3.93,3.45,3.2,5.21,1.91,3.24,2.76,1.64,2.68,1.97
e_0,13.48,16.33,12.01,10.03,9.42,8.66,5.61,3.53,3.38,3.49,3.5,1.91,2.48,2.77,1.6,2.36
g_0,11.93,10.3,11.72,10.94,11.8,8.87,3.8,3.57,3.4,5.47,3.44,3.44,2.11,2.74,2.9,3.06
