,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.47,0.72,0.67,0.87,0.64,0.73,1.67,1.73,1.56,2.74,1.82,1.56,1.79,2.45,1.02,2.09
f_1,1.18,2.47,0.75,0.7,0.72,0.81,1.39,1.35,1.68,1.56,1.52,0.88,1.97,1.83,1.6,1.76
d_1,0.74,0.8,2.51,0.67,0.78,0.74,1.64,1.31,2.83,0.8,1.97,1.77,1.5,2.0,1.47,2.06
c_1,0.73,0.7,0.88,2.53,1.29,0.74,1.4,1.19,0.53,1.46,1.33,1.81,1.3,1.72,2.13,1.87
b_1,0.78,0.84,0.78,0.61,2.63,1.19,1.33,1.51,1.65,1.62,1.19,1.7,1.6,2.46,1.97,2.06
a_1,0.79,0.69,0.8,0.82,0.67,3.24,1.65,1.83,1.55,1.72,1.63,1.81,0.65,2.06,1.55,2.19
h_1,0.82,1.27,1.03,1.15,0.95,0.87,3.74,2.06,2.14,2.27,2.55,2.11,2.02,1.86,2.18,3.66
g_1,0.8,0.93,1.35,1.28,0.99,0.66,2.0,4.34,1.92,2.14,2.23,3.16,2.18,2.58,2.23,1.49
c_0,1.05,1.18,0.98,0.89,0.97,0.87,1.85,2.27,3.76,2.25,3.54,2.54,3.05,3.15,2.33,3.35
d_0,0.89,1.25,0.42,1.72,0.96,0.99,1.97,1.79,1.82,3.81,2.12,2.18,1.67,2.31,1.88,2.33
b_0,0.88,1.39,1.01,1.26,0.4,0.84,1.76,2.06,2.22,2.19,4.03,2.33,4.31,3.43,2.16,3.08
f_0,1.03,0.64,1.08,1.09,1.09,1.02,2.01,1.92,2.18,2.05,2.52,4.18,2.07,2.74,4.55,2.43
a_0,0.99,1.05,1.1,1.38,0.91,0.72,2.16,1.95,1.96,2.78,1.92,2.04,4.72,2.77,2.23,4.01
h_0,0.99,1.43,1.01,1.02,0.84,0.85,1.35,2.54,2.31,2.47,2.07,2.0,2.31,1.51,1.85,3.27
e_0,0.56,1.1,1.23,0.83,1.11,1.12,1.87,2.27,2.81,2.51,2.75,1.79,2.74,3.59,4.83,2.95
g_0,0.81,1.01,1.33,1.2,0.98,0.99,1.6,1.64,2.06,1.95,2.01,3.27,1.7,2.67,2.86,1.8
