,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.88,0.2,0.35,0.17,0.14,0.08,0.13,0.11,0.14,0.16,0.15,0.05,0.15,0.09,0.07,0.13
d_1,0.22,0.89,0.16,0.13,0.15,0.11,0.17,0.15,0.33,0.09,0.2,0.18,0.17,0.13,0.12,0.11
e_1,0.22,0.16,0.88,0.21,0.15,0.09,0.15,0.14,0.16,0.32,0.14,0.17,0.19,0.12,0.07,0.13
c_1,0.19,0.18,0.17,0.89,0.3,0.08,0.15,0.12,0.05,0.15,0.11,0.15,0.15,0.1,0.09,0.12
b_1,0.18,0.19,0.16,0.17,0.88,0.23,0.11,0.12,0.12,0.14,0.05,0.13,0.17,0.09,0.12,0.16
a_1,0.2,0.2,0.12,0.19,0.17,0.88,0.18,0.14,0.18,0.13,0.16,0.17,0.22,0.05,0.13,0.14
h_1,0.3,0.22,0.22,0.25,0.11,0.12,0.56,0.2,0.19,0.18,0.22,0.17,0.12,0.13,0.13,0.25
g_1,0.19,0.39,0.16,0.21,0.18,0.12,0.15,0.56,0.2,0.19,0.19,0.27,0.17,0.13,0.14,0.1
c_0,0.28,0.3,0.22,0.15,0.12,0.11,0.18,0.18,0.44,0.21,0.36,0.21,0.24,0.15,0.13,0.18
d_0,0.24,0.12,0.22,0.4,0.17,0.12,0.19,0.15,0.14,0.43,0.23,0.2,0.18,0.15,0.13,0.14
b_0,0.27,0.3,0.23,0.23,0.07,0.09,0.18,0.18,0.23,0.18,0.44,0.18,0.24,0.27,0.13,0.17
f_0,0.14,0.27,0.17,0.29,0.16,0.12,0.17,0.17,0.2,0.26,0.2,0.4,0.23,0.14,0.33,0.17
h_0,0.34,0.29,0.22,0.18,0.17,0.11,0.08,0.24,0.24,0.21,0.16,0.17,0.13,0.12,0.13,0.22
a_0,0.25,0.27,0.23,0.29,0.15,0.07,0.15,0.17,0.23,0.22,0.18,0.17,0.23,0.41,0.16,0.17
e_0,0.28,0.27,0.13,0.2,0.16,0.14,0.21,0.2,0.24,0.22,0.26,0.16,0.24,0.18,0.39,0.16
g_0,0.22,0.39,0.19,0.2,0.17,0.12,0.17,0.13,0.19,0.16,0.2,0.3,0.21,0.12,0.16,0.1
