,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,100.94,33.46,43.55,56.18,71.24,198.71,5595.13,9350.59,17001.66,11662.45,27883.98,24919.1,54668.27,94120.02,78285.72,69433.52
f_1,48.76,107.99,38.44,46.73,55.67,210.68,4140.62,9538.12,11258.9,17881.6,25883.3,12937.25,44170.34,87354.17,69139.92,94661.58
d_1,29.63,34.12,133.48,36.6,62.46,169.11,3827.17,7365.26,6121.26,22470.54,25079.26,24256.77,53998.72,80894.23,87918.55,91130.37
c_1,26.61,29.96,45.96,144.98,84.31,185.13,4335.63,8045.04,7788.17,6714.58,14011.23,20821.19,52843.33,90449.44,79741.89,76978.94
b_1,22.77,30.81,35.7,37.24,182.89,261.06,2857.04,7046.88,8468.7,14788.08,12949.83,23054.06,52816.72,84212.2,64609.43,84369.86
a_1,18.12,19.06,21.99,28.44,33.76,496.84,2667.05,5478.55,5973.52,6019.58,14903.05,14009.29,28133.52,57022.43,24892.13,44030.48
h_1,8.43,13.49,15.59,14.96,23.77,59.75,2816.02,3159.41,3259.38,4012.57,8651.44,10122.02,9621.41,39212.09,32003.2,36840.03
g_1,7.05,8.49,15.63,13.69,13.7,46.03,1117.86,5144.65,2181.35,2887.77,5642.03,9522.24,12063.02,17119.07,24326.27,27410.85
d_0,6.9,9.12,5.83,20.17,18.47,52.46,1122.65,2602.92,4403.3,2862.66,5647.6,8276.99,14455.48,26653.4,21889.8,29194.53
c_0,8.59,7.45,9.8,7.96,9.92,56.44,1253.25,2770.84,2810.73,5783.23,11529.61,7272.89,11617.17,32299.25,21503.49,18297.09
b_0,5.71,6.8,8.91,13.83,6.84,37.34,1025.61,1871.45,2270.35,1862.35,8720.3,4737.34,11199.36,21945.05,26841.2,21760.16
f_0,5.47,5.04,9.47,10.45,11.63,40.44,763.84,1786.14,1901.67,2711.03,5514.36,8957.47,11957.51,22950.13,19705.13,36617.38
h_0,4.51,8.16,6.68,7.47,9.04,35.65,486.63,1696.93,1703.23,2220.4,3691.23,3489.89,5019.24,19602.72,14636.17,15781.36
g_0,3.43,4.26,8.95,6.0,8.27,26.36,527.59,644.78,1101.16,1314.54,3301.46,3970.46,6259.41,8906.11,9553.95,11276.38
a_0,4.24,4.96,5.66,7.22,7.58,25.8,565.38,1153.8,1401.69,2274.74,3281.25,3332.52,8343.78,15774.77,23301.98,11330.35
e_0,2.21,4.35,5.43,7.5,8.39,31.36,581.33,1141.97,1260.7,2109.78,3220.55,3183.66,6814.21,13696.65,11824.47,26627.8
