,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,101.28,49.58,60.61,100.78,105.25,243.17,8984.78,21570.78,17049.47,21500.23,31799.92,35815.07,93851.37,107716.14,90368.24,140897.78
f_1,71.6,109.36,62.81,72.75,91.1,243.58,7581.38,11729.84,15117.99,23382.93,26480.79,24149.04,66498.67,67992.32,90170.2,141327.9
d_1,42.89,60.41,141.41,58.88,66.46,216.81,8532.51,7580.12,12219.85,29665.4,29445.32,29855.07,71377.55,67267.58,111547.13,115795.84
c_1,34.72,41.67,52.28,157.28,148.88,195.41,6970.96,8922.75,13528.72,9210.41,22828.97,28128.15,68750.82,61807.24,93287.87,112541.02
b_1,32.17,35.89,63.97,55.51,188.78,407.42,6806.24,8592.04,13806.48,17931.55,14566.81,30034.34,62583.3,59963.94,84571.54,111099.08
a_1,27.64,30.69,46.74,52.36,36.47,434.76,5731.96,6781.66,10800.95,11149.88,17632.7,20299.7,57600.9,28769.63,77412.17,90182.64
h_1,11.22,16.58,18.12,18.7,22.56,54.09,3615.82,3085.72,4719.6,4715.8,7116.84,7169.39,14581.57,16862.88,25470.54,48440.03
d_0,7.66,10.91,11.62,31.36,26.32,57.45,1794.21,4038.99,3647.23,3447.76,6331.21,7583.71,21809.06,18857.1,25086.99,37752.08
g_1,7.63,9.53,20.61,12.43,19.19,54.52,1603.16,2007.01,6176.03,4479.98,5025.83,9416.34,14749.52,16605.02,23883.25,20334.02
c_0,8.45,11.22,13.54,13.19,13.33,52.04,1996.12,2867.7,3098.13,6143.78,8694.77,7135.66,15826.92,18666.08,23151.33,33907.01
b_0,7.96,9.91,13.13,14.38,10.35,41.58,1646.29,2319.63,2879.5,3287.29,7769.37,5523.9,17076.75,21941.49,23520.99,29099.48
f_0,6.75,5.89,12.17,12.77,18.41,51.89,1578.93,2377.34,2643.01,3359.04,4662.02,8896.95,15212.87,13527.82,34313.09,21705.14
h_0,6.39,9.06,9.29,10.75,13.85,32.59,790.81,1553.09,2559.94,2693.8,3152.32,3504.29,8136.91,8872.54,14225.77,23400.75
a_0,5.3,7.04,9.4,10.1,11.94,24.39,1327.39,1695.33,1748.85,2441.7,3626.38,4329.43,12683.53,17045.52,14768.44,17573.02
e_0,2.69,7.19,7.96,9.42,13.37,27.72,985.75,1450.26,1821.38,2568.0,2783.06,3267.46,11157.74,8792.96,21364.72,19245.2
g_0,4.64,4.96,11.24,9.22,10.28,28.79,802.28,1097.33,1494.21,2209.62,3105.98,4626.83,8102.58,9933.55,12382.81,11828.88
