,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,2.32,1.77,0.99,0.95,0.83,0.71,1.79,2.29,1.85,1.58,1.9,1.32,2.49,1.24,1.65,2.48
e_1,1.17,2.33,1.35,0.88,0.93,0.7,1.82,3.68,1.94,1.62,2.19,2.0,2.86,1.5,1.86,2.17
c_1,1.04,0.89,2.5,0.95,1.81,1.08,1.89,2.05,1.44,1.62,1.28,1.99,2.64,2.03,1.39,2.09
d_1,1.35,1.09,0.85,2.55,0.89,0.72,2.02,1.69,3.78,1.71,2.46,1.88,2.97,1.77,1.85,2.58
b_1,1.03,0.97,1.0,1.03,2.63,1.73,1.88,2.04,1.93,1.61,1.37,1.98,2.33,1.87,1.17,2.33
a_1,1.15,0.96,1.08,1.07,0.92,3.08,2.1,2.27,2.22,1.95,2.07,2.37,2.78,1.83,1.26,2.31
h_1,1.48,1.15,1.1,1.27,1.02,0.69,3.57,2.12,2.13,2.4,2.19,2.21,2.21,2.17,2.22,3.13
d_0,1.08,1.14,1.82,0.85,1.29,0.78,2.0,3.18,1.78,1.77,1.97,2.2,2.72,2.14,1.9,2.55
c_0,1.25,1.16,1.03,1.26,0.83,0.88,2.32,2.41,3.47,2.13,4.03,2.12,2.98,2.08,2.44,3.11
g_1,1.13,1.14,1.16,1.56,0.89,0.8,1.92,2.11,2.25,3.92,2.06,3.02,2.61,2.34,1.96,2.05
b_0,1.42,1.25,1.23,1.14,0.75,0.55,2.19,2.45,2.25,2.12,3.67,1.96,3.49,1.9,4.32,2.96
f_0,1.08,0.92,1.3,1.31,1.08,0.91,2.13,2.44,2.34,1.98,2.31,3.68,2.68,4.17,2.27,2.95
h_0,1.5,1.14,1.11,1.23,0.92,0.86,1.59,2.26,2.2,2.37,2.33,1.95,2.55,1.73,1.95,3.42
e_0,1.23,0.92,1.23,1.28,1.15,0.91,2.03,2.05,2.39,1.92,2.04,2.38,2.73,3.79,2.24,3.24
a_0,1.37,1.17,1.2,1.12,1.16,0.52,2.22,2.85,2.46,1.73,2.4,2.07,3.47,2.37,4.04,2.97
g_0,1.12,1.04,1.07,1.76,0.98,0.76,2.03,1.95,2.67,1.6,2.29,3.02,2.81,2.38,2.12,2.08
