,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.95,0.49,0.36,0.52,0.37,0.29,0.31,0.45,0.26,0.25,0.27,0.26,0.26,0.22,0.18,0.25
f_1,0.68,0.94,0.41,0.46,0.37,0.3,0.24,0.3,0.26,0.26,0.25,0.16,0.23,0.17,0.15,0.21
d_1,0.49,0.55,0.95,0.35,0.44,0.3,0.32,0.23,0.26,0.46,0.3,0.26,0.32,0.2,0.22,0.21
c_1,0.43,0.44,0.53,0.94,0.59,0.27,0.32,0.25,0.27,0.19,0.22,0.28,0.3,0.2,0.2,0.2
b_1,0.49,0.47,0.51,0.43,0.94,0.51,0.33,0.31,0.25,0.28,0.2,0.26,0.24,0.19,0.21,0.26
a_1,0.54,0.56,0.6,0.55,0.4,0.94,0.39,0.4,0.34,0.31,0.37,0.31,0.34,0.17,0.2,0.28
h_1,0.75,1.08,0.71,0.62,0.51,0.42,0.76,0.44,0.48,0.36,0.44,0.37,0.35,0.33,0.25,0.42
d_0,0.73,0.82,0.53,1.23,0.58,0.48,0.54,0.67,0.42,0.35,0.43,0.42,0.42,0.26,0.3,0.42
g_1,0.7,0.71,0.98,0.7,0.75,0.45,0.5,0.49,0.75,0.41,0.42,0.62,0.42,0.33,0.3,0.33
c_0,0.87,0.9,0.74,0.65,0.56,0.47,0.6,0.55,0.44,0.68,0.76,0.49,0.44,0.39,0.36,0.4
b_0,0.83,0.99,0.79,0.9,0.47,0.45,0.54,0.55,0.48,0.38,0.65,0.43,0.49,0.63,0.35,0.41
f_0,0.79,0.72,0.93,0.77,0.77,0.48,0.69,0.5,0.44,0.45,0.55,0.67,0.44,0.4,0.63,0.4
h_0,0.75,1.1,0.8,0.77,0.8,0.55,0.47,0.54,0.58,0.53,0.52,0.53,0.41,0.35,0.35,0.51
a_0,0.87,1.04,1.0,0.91,0.65,0.55,0.67,0.61,0.59,0.54,0.45,0.46,0.59,0.64,0.44,0.46
e_0,0.65,1.14,0.85,0.96,0.75,0.62,0.82,0.63,0.52,0.53,0.59,0.42,0.62,0.4,0.62,0.5
g_0,0.78,0.75,1.21,0.99,0.73,0.57,0.62,0.49,0.32,0.5,0.59,0.72,0.47,0.35,0.4,0.41
