,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.16,0.06,0.03,0.02,0.03,0.02,0.06,0.06,0.04,0.07,0.05,,0.07,0.04,0.04,0.07
e_1,0.03,2.24,0.02,0.02,0.02,0.02,0.05,0.13,0.06,0.08,0.04,0.06,0.06,0.04,,0.07
c_1,0.03,0.03,2.34,0.03,0.04,0.02,0.05,0.06,0.04,,0.07,0.07,0.08,0.03,0.04,0.08
d_1,0.03,0.03,0.03,2.4,0.03,0.02,0.05,,0.05,0.1,0.06,0.04,0.1,0.05,0.03,0.08
b_1,0.04,0.03,0.03,0.03,2.54,0.04,0.07,0.06,0.05,0.04,,0.06,0.09,0.03,0.03,0.08
a_1,0.03,0.02,0.03,0.03,0.03,3.02,0.06,0.07,,0.07,0.05,0.06,0.06,,,
h_1,0.16,0.1,0.11,0.13,0.08,0.07,2.65,0.25,0.22,0.25,0.3,0.17,,0.18,0.2,0.25
d_0,0.17,0.15,0.23,,0.12,0.09,0.23,1.98,0.21,0.32,0.3,0.29,0.57,0.22,0.25,0.32
g_1,0.09,0.11,0.12,0.14,0.09,,0.23,0.2,3.08,0.24,0.25,0.45,0.23,0.21,0.14,
c_0,0.12,0.12,,0.18,0.12,0.09,0.28,0.43,0.18,2.11,0.61,0.19,0.41,0.25,0.24,0.35
b_0,0.17,0.13,0.14,0.15,,0.1,0.33,0.32,0.16,0.3,2.1,0.25,0.42,,0.24,0.39
f_0,,0.15,0.13,0.15,0.16,0.12,0.32,0.26,0.23,0.18,0.27,2.29,0.45,0.35,0.71,0.19
h_0,0.31,0.24,0.19,0.22,0.18,0.2,,0.43,0.48,0.38,0.55,0.33,,0.4,0.31,0.71
a_0,0.17,0.14,0.14,0.09,0.13,,0.21,0.38,0.26,0.42,,0.19,0.5,2.71,,0.37
e_0,0.08,,0.21,0.16,0.18,,0.27,0.31,0.23,0.37,0.29,0.34,0.45,,2.71,
g_0,0.22,0.18,0.24,0.27,0.19,,0.54,0.41,,0.45,0.4,0.6,0.4,0.25,,
