,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.22,0.56,0.39,0.59,0.44,0.36,0.81,1.99,0.77,0.88,1.13,1.0,0.74,1.17,0.31,1.15
f_1,0.9,2.29,0.5,0.43,0.37,0.27,0.77,0.81,0.71,1.02,0.91,0.31,0.83,1.21,0.58,0.89
d_1,0.53,0.5,2.39,0.37,0.4,0.32,1.0,0.41,0.82,1.93,1.08,0.97,0.89,1.3,1.11,1.2
c_1,0.47,0.49,0.46,2.41,0.81,0.41,0.87,0.96,0.62,0.31,0.72,0.86,0.75,1.25,0.78,1.26
b_1,0.4,0.52,0.58,0.49,2.59,0.69,0.82,1.01,0.79,0.8,0.24,0.94,0.63,1.13,1.0,0.83
a_1,0.56,0.55,0.39,0.6,0.45,3.12,0.99,0.78,0.77,0.96,1.1,0.97,0.29,1.06,0.77,0.85
h_1,0.66,0.89,0.62,0.52,0.51,0.38,2.99,1.06,1.02,0.98,1.04,1.01,1.09,0.77,0.94,1.72
d_0,0.59,0.61,0.29,1.15,0.53,0.44,1.0,2.57,1.04,0.89,1.35,1.13,0.96,1.56,0.81,1.18
g_1,0.53,0.44,0.97,0.59,0.47,0.35,1.17,1.07,3.38,1.43,1.15,1.81,1.12,1.54,1.13,0.92
c_0,0.61,0.7,0.72,0.36,0.34,0.34,1.3,1.29,1.11,2.63,2.38,1.26,1.18,1.55,1.07,1.55
b_0,0.58,0.77,0.57,0.62,0.26,0.36,1.33,1.26,1.18,1.14,2.7,1.24,2.12,1.53,1.08,1.45
f_0,0.43,0.31,0.78,0.74,0.51,0.48,1.26,1.35,1.09,1.36,1.37,2.81,1.33,1.68,2.39,1.73
a_0,0.74,0.58,0.61,0.7,0.54,0.23,1.37,1.2,0.95,1.08,1.03,1.13,3.09,1.57,1.04,1.11
h_0,0.66,0.91,0.66,0.57,0.5,0.37,0.6,1.19,1.35,1.21,1.07,1.15,1.01,0.86,0.94,2.04
e_0,0.26,0.69,0.77,0.62,0.58,0.61,1.19,1.12,1.12,1.53,1.49,1.2,1.09,1.69,2.98,1.43
g_0,0.58,0.51,0.98,0.57,0.63,0.32,1.16,0.99,0.53,0.98,1.25,1.82,0.99,1.48,1.11,0.77
